  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05   0.04215   0.04215
     1e-05    0.0001   0.04215   0.04215
     1e-05     0.001   0.04215   0.04215
     1e-05      0.01   0.04216   0.04216
     1e-05       0.1   0.04189   0.04216
     1e-05         1   0.04047   0.04216
     1e-05        10   0.03647   0.04216
     1e-05       100   0.03327   0.04216
     1e-05      1000   0.03234   0.04216
     1e-05     1e+04   0.03225   0.04216
     1e-05     1e+05   0.03225   0.04216
    0.0001     1e-05   0.04215   0.04216
    0.0001    0.0001   0.04215   0.04216
    0.0001     0.001   0.04215   0.04216
    0.0001      0.01   0.04216   0.04216
    0.0001       0.1   0.04189   0.04216
    0.0001         1   0.04047   0.04216
    0.0001        10   0.03647   0.04216
    0.0001       100   0.03327   0.04216
    0.0001      1000   0.03234   0.04216
    0.0001     1e+04   0.03225   0.04216
    0.0001     1e+05   0.03225   0.04216
     0.001     1e-05   0.04215   0.04216
     0.001    0.0001   0.04215   0.04216
     0.001     0.001   0.04215   0.04216
     0.001      0.01   0.04216   0.04216
     0.001       0.1   0.04189   0.04216
     0.001         1   0.04047   0.04216
     0.001        10   0.03647   0.04216
     0.001       100   0.03327   0.04216
     0.001      1000   0.03234   0.04216
     0.001     1e+04   0.03225   0.04216
     0.001     1e+05   0.03225   0.04216
      0.01     1e-05   0.04229   0.04229
      0.01    0.0001   0.04229   0.04229
      0.01     0.001   0.04228   0.04229
      0.01      0.01   0.04228   0.04229
      0.01       0.1   0.04208   0.04229
      0.01         1   0.04106   0.04229
      0.01        10   0.03948   0.04229
      0.01       100   0.03954   0.04229
      0.01      1000   0.03961   0.04229
      0.01     1e+04   0.03963   0.04229
      0.01     1e+05   0.03963   0.04229
       0.1     1e-05   0.05835   0.05835
       0.1    0.0001   0.05837   0.05837
       0.1     0.001   0.05841   0.05841
       0.1      0.01   0.05842   0.05842
       0.1       0.1    0.0583   0.05842
       0.1         1   0.05823   0.05842
       0.1        10   0.05641   0.05842
       0.1       100   0.05519   0.05842
       0.1      1000   0.05508   0.05842
       0.1     1e+04   0.05501   0.05842
       0.1     1e+05   0.05509   0.05842
         1     1e-05   0.04154   0.05842
         1    0.0001   0.04177   0.05842
