   OASIS_C  AP_test best_AP_test
     1e-05    0.3058    0.3058
    0.0001    0.3058    0.3058
     0.001    0.3058    0.3058
      0.01    0.3168    0.3168
       0.1    0.4388    0.4388
         1    0.5443    0.5443
        10    0.5382    0.5443
       100    0.4559    0.5443
      1000    0.4148    0.5443
     1e+04    0.4235    0.5443
     1e+05    0.4247    0.5443
******************************************
Best OASIS_C: 	1	 AP_test=0.5443
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.4919    0.4919
     1e-05    0.0001    0.5106    0.5106
     1e-05     0.001    0.5232    0.5232
     1e-05      0.01    0.5115    0.5232
     1e-05       0.1    0.4853    0.5232
     1e-05         1    0.4036    0.5232
     1e-05        10    0.3422    0.5232
     1e-05       100    0.3164    0.5232
     1e-05      1000     0.309    0.5232
     1e-05     1e+04    0.3058    0.5232
     1e-05     1e+05    0.3058    0.5232
    0.0001     1e-05    0.4919    0.5232
    0.0001    0.0001    0.5106    0.5232
    0.0001     0.001    0.5232    0.5232
    0.0001      0.01    0.5115    0.5232
    0.0001       0.1    0.4853    0.5232
    0.0001         1    0.4036    0.5232
    0.0001        10    0.3422    0.5232
    0.0001       100    0.3164    0.5232
    0.0001      1000     0.309    0.5232
    0.0001     1e+04    0.3058    0.5232
    0.0001     1e+05    0.3058    0.5232
     0.001     1e-05    0.4919    0.5232
     0.001    0.0001    0.5106    0.5232
     0.001     0.001    0.5232    0.5232
     0.001      0.01    0.5115    0.5232
     0.001       0.1    0.4853    0.5232
     0.001         1    0.4036    0.5232
     0.001        10    0.3422    0.5232
     0.001       100    0.3164    0.5232
     0.001      1000     0.309    0.5232
     0.001     1e+04    0.3058    0.5232
     0.001     1e+05    0.3058    0.5232
      0.01     1e-05    0.4919    0.5232
      0.01    0.0001    0.5106    0.5232
      0.01     0.001    0.5232    0.5232
      0.01      0.01    0.5115    0.5232
      0.01       0.1    0.4853    0.5232
      0.01         1    0.4036    0.5232
      0.01        10    0.3422    0.5232
      0.01       100    0.3201    0.5232
      0.01      1000    0.3152    0.5232
      0.01     1e+04    0.3166    0.5232
      0.01     1e+05    0.3165    0.5232
       0.1     1e-05    0.4919    0.5232
       0.1    0.0001    0.5106    0.5232
       0.1     0.001    0.5232    0.5232
       0.1      0.01    0.5115    0.5232
       0.1       0.1    0.4853    0.5232
       0.1         1    0.4032    0.5232
       0.1        10    0.3768    0.5232
       0.1       100    0.4186    0.5232
       0.1      1000    0.4335    0.5232
       0.1     1e+04    0.4374    0.5232
       0.1     1e+05    0.4383    0.5232
         1     1e-05    0.4919    0.5232
         1    0.0001    0.5106    0.5232
         1     0.001    0.5232    0.5232
         1      0.01    0.5115    0.5232
         1       0.1    0.4852    0.5232
         1         1    0.5128    0.5232
         1        10    0.5711    0.5711
         1       100    0.5547    0.5711
         1      1000    0.5478    0.5711
         1     1e+04    0.5414    0.5711
         1     1e+05    0.5489    0.5711
        10     1e-05    0.4919    0.5711
        10    0.0001    0.5106    0.5711
        10     0.001    0.5232    0.5711
        10      0.01    0.5124    0.5711
        10       0.1     0.575     0.575
        10         1    0.5822    0.5822
        10        10    0.5649    0.5822
        10       100    0.5368    0.5822
        10      1000    0.4963    0.5822
        10     1e+04    0.4817    0.5822
        10     1e+05    0.5232    0.5822
       100     1e-05    0.4919    0.5822
       100    0.0001    0.5106    0.5822
       100     0.001     0.527    0.5822
       100      0.01    0.6075    0.6075
       100       0.1     0.618     0.618
       100         1    0.5917     0.618
       100        10    0.4915     0.618
       100       100    0.5088     0.618
       100      1000    0.4748     0.618
       100     1e+04    0.4665     0.618
       100     1e+05    0.4695     0.618
      1000     1e-05    0.4919     0.618
      1000    0.0001    0.5133     0.618
      1000     0.001    0.6593    0.6593
      1000      0.01    0.6521    0.6593
      1000       0.1    0.6373    0.6593
      1000         1    0.5506    0.6593
      1000        10    0.5355    0.6593
      1000       100    0.5032    0.6593
      1000      1000    0.4142    0.6593
      1000     1e+04    0.4243    0.6593
      1000     1e+05    0.4439    0.6593
     1e+04     1e-05    0.4938    0.6593
     1e+04    0.0001    0.6459    0.6593
     1e+04     0.001    0.6891    0.6891
     1e+04      0.01    0.6458    0.6891
     1e+04       0.1    0.5775    0.6891
     1e+04         1    0.5285    0.6891
     1e+04        10    0.4688    0.6891
     1e+04       100    0.5156    0.6891
     1e+04      1000     0.484    0.6891
     1e+04     1e+04    0.5076    0.6891
     1e+04     1e+05    0.4689    0.6891
     1e+05     1e-05    0.6202    0.6891
     1e+05    0.0001    0.6961    0.6961
     1e+05     0.001    0.6732    0.6961
     1e+05      0.01    0.6398    0.6961
     1e+05       0.1    0.5866    0.6961
     1e+05         1    0.5425    0.6961
     1e+05        10    0.4743    0.6961
     1e+05       100    0.5002    0.6961
     1e+05      1000     0.492    0.6961
     1e+05     1e+04    0.4842    0.6961
     1e+05     1e+05    0.4541    0.6961
******************************************
Best CWS_eta=1e+05	 CWS_r=0.0001	 AP_test=0.6961
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.7258    0.7258
    0.0001    0.7134    0.7258
     0.001    0.6777    0.7258
      0.01    0.6302    0.7258
       0.1    0.5893    0.7258
         1    0.5382    0.7258
        10    0.4374    0.7258
       100    0.3353    0.7258
      1000    0.3072    0.7258
     1e+04    0.3047    0.7258
     1e+05    0.3058    0.7258
******************************************
Best AROMA_r=1e-05	 AP_test=0.7258
******************************************
