   OASIS_C  AP_test best_AP_test
     1e-05    0.1534    0.1534
    0.0001    0.1534    0.1534
     0.001    0.1534    0.1534
      0.01    0.1534    0.1534
       0.1    0.2462    0.2462
         1    0.3469    0.3469
        10    0.3209    0.3469
       100    0.2652    0.3469
      1000    0.2653    0.3469
     1e+04    0.2653    0.3469
     1e+05    0.2653    0.3469
******************************************
Best OASIS_C: 	1	 AP_test=0.3469
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05       0.2       0.2
     1e-05    0.0001     0.253     0.253
     1e-05     0.001    0.3074    0.3074
     1e-05      0.01    0.3491    0.3491
     1e-05       0.1    0.3615    0.3615
     1e-05         1    0.3371    0.3615
     1e-05        10    0.2771    0.3615
     1e-05       100    0.2013    0.3615
     1e-05      1000    0.1634    0.3615
     1e-05     1e+04    0.1547    0.3615
     1e-05     1e+05    0.1534    0.3615
    0.0001     1e-05       0.2    0.3615
    0.0001    0.0001     0.253    0.3615
    0.0001     0.001    0.3074    0.3615
    0.0001      0.01    0.3491    0.3615
    0.0001       0.1    0.3615    0.3615
    0.0001         1    0.3371    0.3615
    0.0001        10    0.2771    0.3615
    0.0001       100    0.2013    0.3615
    0.0001      1000    0.1634    0.3615
    0.0001     1e+04    0.1547    0.3615
    0.0001     1e+05    0.1534    0.3615
     0.001     1e-05       0.2    0.3615
     0.001    0.0001     0.253    0.3615
     0.001     0.001    0.3074    0.3615
     0.001      0.01    0.3491    0.3615
     0.001       0.1    0.3615    0.3615
     0.001         1    0.3371    0.3615
     0.001        10    0.2771    0.3615
     0.001       100    0.2013    0.3615
     0.001      1000    0.1634    0.3615
     0.001     1e+04    0.1547    0.3615
     0.001     1e+05    0.1534    0.3615
      0.01     1e-05       0.2    0.3615
      0.01    0.0001     0.253    0.3615
      0.01     0.001    0.3074    0.3615
      0.01      0.01    0.3491    0.3615
      0.01       0.1    0.3615    0.3615
      0.01         1    0.3371    0.3615
      0.01        10    0.2771    0.3615
      0.01       100    0.2013    0.3615
      0.01      1000    0.1634    0.3615
      0.01     1e+04    0.1547    0.3615
      0.01     1e+05    0.1534    0.3615
       0.1     1e-05       0.2    0.3615
       0.1    0.0001     0.253    0.3615
       0.1     0.001    0.3074    0.3615
       0.1      0.01    0.3491    0.3615
       0.1       0.1    0.3615    0.3615
       0.1         1    0.3371    0.3615
       0.1        10    0.2792    0.3615
       0.1       100     0.262    0.3615
       0.1      1000    0.2515    0.3615
       0.1     1e+04    0.2447    0.3615
       0.1     1e+05    0.2454    0.3615
         1     1e-05       0.2    0.3615
         1    0.0001     0.253    0.3615
         1     0.001    0.3074    0.3615
         1      0.01    0.3491    0.3615
         1       0.1    0.3616    0.3616
         1         1    0.3829    0.3829
         1        10    0.3963    0.3963
         1       100    0.3716    0.3963
         1      1000    0.3489    0.3963
         1     1e+04    0.3465    0.3963
         1     1e+05    0.3417    0.3963
        10     1e-05       0.2    0.3963
        10    0.0001     0.253    0.3963
        10     0.001    0.3074    0.3963
        10      0.01    0.3493    0.3963
        10       0.1    0.4533    0.4533
        10         1    0.4458    0.4533
        10        10    0.4067    0.4533
        10       100    0.3694    0.4533
        10      1000    0.3265    0.4533
        10     1e+04    0.3236    0.4533
        10     1e+05    0.3503    0.4533
       100     1e-05       0.2    0.4533
       100    0.0001     0.253    0.4533
       100     0.001    0.3074    0.4533
       100      0.01    0.4676    0.4676
       100       0.1     0.446    0.4676
       100         1     0.404    0.4676
       100        10      0.37    0.4676
       100       100    0.3127    0.4676
       100      1000    0.2918    0.4676
       100     1e+04    0.3076    0.4676
       100     1e+05    0.2878    0.4676
      1000     1e-05       0.2    0.4676
      1000    0.0001    0.2535    0.4676
      1000     0.001    0.4489    0.4676
      1000      0.01     0.432    0.4676
      1000       0.1    0.3876    0.4676
      1000         1    0.3652    0.4676
      1000        10    0.3534    0.4676
      1000       100    0.3455    0.4676
      1000      1000    0.2927    0.4676
      1000     1e+04    0.3018    0.4676
      1000     1e+05    0.2908    0.4676
     1e+04     1e-05    0.2047    0.4676
     1e+04    0.0001    0.4235    0.4676
     1e+04     0.001    0.4267    0.4676
     1e+04      0.01    0.3737    0.4676
     1e+04       0.1    0.3573    0.4676
     1e+04         1    0.3488    0.4676
     1e+04        10    0.3324    0.4676
     1e+04       100    0.3065    0.4676
     1e+04      1000    0.3009    0.4676
     1e+04     1e+04    0.2969    0.4676
     1e+04     1e+05    0.2999    0.4676
     1e+05     1e-05    0.3594    0.4676
     1e+05    0.0001    0.4241    0.4676
     1e+05     0.001    0.3685    0.4676
     1e+05      0.01     0.372    0.4676
     1e+05       0.1    0.3665    0.4676
     1e+05         1    0.3596    0.4676
     1e+05        10    0.3292    0.4676
     1e+05       100    0.3007    0.4676
     1e+05      1000    0.3102    0.4676
     1e+05     1e+04     0.299    0.4676
     1e+05     1e+05     0.292    0.4676
******************************************
Best CWS_eta=100	 CWS_r=0.01	 AP_test=0.4676
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05     0.476     0.476
    0.0001    0.4756     0.476
     0.001    0.4734     0.476
      0.01    0.4743     0.476
       0.1    0.4715     0.476
         1    0.4327     0.476
        10    0.3409     0.476
       100    0.2616     0.476
      1000    0.1772     0.476
     1e+04    0.1557     0.476
     1e+05    0.1536     0.476
******************************************
Best AROMA_r=1e-05	 AP_test=0.476
******************************************
