   OASIS_C  AP_test best_AP_test
     1e-05    0.5139    0.5139
    0.0001    0.5139    0.5139
     0.001    0.5139    0.5139
      0.01     0.556     0.556
       0.1    0.6399    0.6399
         1    0.6354    0.6399
        10    0.5952    0.6399
       100    0.5791    0.6399
      1000    0.5788    0.6399
     1e+04    0.5788    0.6399
     1e+05    0.5788    0.6399
******************************************
Best OASIS_C: 	0.1	 AP_test=0.6399
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.4803    0.4803
     1e-05    0.0001    0.5485    0.5485
     1e-05     0.001    0.5977    0.5977
     1e-05      0.01    0.6562    0.6562
     1e-05       0.1    0.6854    0.6854
     1e-05         1    0.6654    0.6854
     1e-05        10    0.5917    0.6854
     1e-05       100    0.5434    0.6854
     1e-05      1000    0.5341    0.6854
     1e-05     1e+04    0.5187    0.6854
     1e-05     1e+05    0.5143    0.6854
    0.0001     1e-05    0.4803    0.6854
    0.0001    0.0001    0.5485    0.6854
    0.0001     0.001    0.5977    0.6854
    0.0001      0.01    0.6562    0.6854
    0.0001       0.1    0.6854    0.6854
    0.0001         1    0.6654    0.6854
    0.0001        10    0.5917    0.6854
    0.0001       100    0.5434    0.6854
    0.0001      1000    0.5341    0.6854
    0.0001     1e+04    0.5187    0.6854
    0.0001     1e+05    0.5143    0.6854
     0.001     1e-05    0.4803    0.6854
     0.001    0.0001    0.5485    0.6854
     0.001     0.001    0.5977    0.6854
     0.001      0.01    0.6562    0.6854
     0.001       0.1    0.6854    0.6854
     0.001         1    0.6654    0.6854
     0.001        10    0.5917    0.6854
     0.001       100    0.5434    0.6854
     0.001      1000    0.5341    0.6854
     0.001     1e+04    0.5187    0.6854
     0.001     1e+05    0.5143    0.6854
      0.01     1e-05    0.4803    0.6854
      0.01    0.0001    0.5485    0.6854
      0.01     0.001    0.5977    0.6854
      0.01      0.01    0.6562    0.6854
      0.01       0.1    0.6854    0.6854
      0.01         1    0.6654    0.6854
      0.01        10    0.5917    0.6854
      0.01       100    0.5562    0.6854
      0.01      1000    0.5556    0.6854
      0.01     1e+04    0.5556    0.6854
      0.01     1e+05    0.5559    0.6854
       0.1     1e-05    0.4803    0.6854
       0.1    0.0001    0.5485    0.6854
       0.1     0.001    0.5977    0.6854
       0.1      0.01    0.6562    0.6854
       0.1       0.1    0.6854    0.6854
       0.1         1    0.6655    0.6854
       0.1        10     0.636    0.6854
       0.1       100    0.6369    0.6854
       0.1      1000    0.6396    0.6854
       0.1     1e+04    0.6394    0.6854
       0.1     1e+05    0.6398    0.6854
         1     1e-05    0.4803    0.6854
         1    0.0001    0.5485    0.6854
         1     0.001    0.5977    0.6854
         1      0.01    0.6562    0.6854
         1       0.1    0.6864    0.6864
         1         1    0.7104    0.7104
         1        10    0.6846    0.7104
         1       100    0.6592    0.7104
         1      1000    0.6481    0.7104
         1     1e+04    0.6421    0.7104
         1     1e+05    0.6367    0.7104
        10     1e-05    0.4803    0.7104
        10    0.0001    0.5485    0.7104
        10     0.001    0.5977    0.7104
        10      0.01     0.658    0.7104
        10       0.1    0.7273    0.7273
        10         1    0.7136    0.7273
        10        10    0.6853    0.7273
        10       100    0.6541    0.7273
        10      1000     0.617    0.7273
        10     1e+04     0.606    0.7273
        10     1e+05    0.5562    0.7273
       100     1e-05    0.4803    0.7273
       100    0.0001    0.5485    0.7273
       100     0.001    0.6005    0.7273
       100      0.01    0.7372    0.7372
       100       0.1    0.7226    0.7372
       100         1    0.6697    0.7372
       100        10    0.6354    0.7372
       100       100    0.6022    0.7372
       100      1000    0.5809    0.7372
       100     1e+04    0.5647    0.7372
       100     1e+05    0.5614    0.7372
      1000     1e-05    0.4803    0.7372
      1000    0.0001    0.5541    0.7372
      1000     0.001    0.7371    0.7372
      1000      0.01    0.7295    0.7372
      1000       0.1     0.665    0.7372
      1000         1    0.6344    0.7372
      1000        10     0.659    0.7372
      1000       100    0.5763    0.7372
      1000      1000    0.5573    0.7372
      1000     1e+04     0.557    0.7372
      1000     1e+05    0.5457    0.7372
     1e+04     1e-05    0.4878    0.7372
     1e+04    0.0001    0.7198    0.7372
     1e+04     0.001     0.735    0.7372
     1e+04      0.01    0.6712    0.7372
     1e+04       0.1    0.6415    0.7372
     1e+04         1     0.641    0.7372
     1e+04        10    0.6367    0.7372
     1e+04       100     0.572    0.7372
     1e+04      1000    0.5341    0.7372
     1e+04     1e+04    0.5531    0.7372
     1e+04     1e+05    0.5727    0.7372
     1e+05     1e-05    0.7051    0.7372
     1e+05    0.0001    0.7259    0.7372
     1e+05     0.001    0.6844    0.7372
     1e+05      0.01    0.6614    0.7372
     1e+05       0.1    0.6395    0.7372
     1e+05         1    0.6231    0.7372
     1e+05        10    0.6427    0.7372
     1e+05       100    0.5842    0.7372
     1e+05      1000    0.6048    0.7372
     1e+05     1e+04    0.5792    0.7372
     1e+05     1e+05    0.5594    0.7372
******************************************
Best CWS_eta=100	 CWS_r=0.01	 AP_test=0.7372
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.7471    0.7471
    0.0001    0.7476    0.7476
     0.001    0.7461    0.7476
      0.01    0.7393    0.7476
       0.1    0.7226    0.7476
         1    0.7011    0.7476
        10    0.6693    0.7476
       100    0.5704    0.7476
      1000    0.5424    0.7476
     1e+04    0.5247    0.7476
     1e+05    0.5151    0.7476
******************************************
Best AROMA_r=0.0001	 AP_test=0.7476
******************************************
