   OASIS_C  AP_test best_AP_test
     1e-05    0.2773    0.2773
    0.0001    0.2773    0.2773
     0.001    0.2773    0.2773
      0.01    0.2773    0.2773
       0.1    0.4821    0.4821
         1    0.5315    0.5315
        10    0.5288    0.5315
       100     0.586     0.586
      1000    0.5164     0.586
     1e+04    0.5167     0.586
     1e+05    0.5167     0.586
******************************************
Best OASIS_C: 	100	 AP_test=0.586
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.4757    0.4757
     1e-05    0.0001    0.4881    0.4881
     1e-05     0.001    0.5127    0.5127
     1e-05      0.01    0.5429    0.5429
     1e-05       0.1    0.5656    0.5656
     1e-05         1    0.5595    0.5656
     1e-05        10    0.4765    0.5656
     1e-05       100    0.3063    0.5656
     1e-05      1000    0.2926    0.5656
     1e-05     1e+04    0.2798    0.5656
     1e-05     1e+05    0.2776    0.5656
    0.0001     1e-05    0.4757    0.5656
    0.0001    0.0001    0.4881    0.5656
    0.0001     0.001    0.5127    0.5656
    0.0001      0.01    0.5429    0.5656
    0.0001       0.1    0.5656    0.5656
    0.0001         1    0.5595    0.5656
    0.0001        10    0.4765    0.5656
    0.0001       100    0.3063    0.5656
    0.0001      1000    0.2926    0.5656
    0.0001     1e+04    0.2798    0.5656
    0.0001     1e+05    0.2776    0.5656
     0.001     1e-05    0.4757    0.5656
     0.001    0.0001    0.4881    0.5656
     0.001     0.001    0.5127    0.5656
     0.001      0.01    0.5429    0.5656
     0.001       0.1    0.5656    0.5656
     0.001         1    0.5595    0.5656
     0.001        10    0.4765    0.5656
     0.001       100    0.3063    0.5656
     0.001      1000    0.2926    0.5656
     0.001     1e+04    0.2798    0.5656
     0.001     1e+05    0.2776    0.5656
      0.01     1e-05    0.4757    0.5656
      0.01    0.0001    0.4881    0.5656
      0.01     0.001    0.5127    0.5656
      0.01      0.01    0.5429    0.5656
      0.01       0.1    0.5656    0.5656
      0.01         1    0.5595    0.5656
      0.01        10    0.4765    0.5656
      0.01       100    0.3063    0.5656
      0.01      1000    0.2926    0.5656
      0.01     1e+04    0.2798    0.5656
      0.01     1e+05    0.2776    0.5656
       0.1     1e-05    0.4757    0.5656
       0.1    0.0001    0.4881    0.5656
       0.1     0.001    0.5127    0.5656
       0.1      0.01    0.5429    0.5656
       0.1       0.1    0.5656    0.5656
       0.1         1    0.5595    0.5656
       0.1        10    0.4928    0.5656
       0.1       100    0.4953    0.5656
       0.1      1000    0.4839    0.5656
       0.1     1e+04    0.4828    0.5656
       0.1     1e+05    0.4805    0.5656
         1     1e-05    0.4757    0.5656
         1    0.0001    0.4881    0.5656
         1     0.001    0.5127    0.5656
         1      0.01    0.5429    0.5656
         1       0.1    0.5657    0.5657
         1         1    0.5676    0.5676
         1        10    0.5433    0.5676
         1       100    0.5289    0.5676
         1      1000    0.5299    0.5676
         1     1e+04    0.5316    0.5676
         1     1e+05    0.5308    0.5676
        10     1e-05    0.4757    0.5676
        10    0.0001    0.4881    0.5676
        10     0.001    0.5127    0.5676
        10      0.01    0.5431    0.5676
        10       0.1    0.5744    0.5744
        10         1    0.5818    0.5818
        10        10    0.5609    0.5818
        10       100    0.5379    0.5818
        10      1000    0.5217    0.5818
        10     1e+04    0.5321    0.5818
        10     1e+05     0.517    0.5818
       100     1e-05    0.4757    0.5818
       100    0.0001    0.4881    0.5818
       100     0.001    0.5132    0.5818
       100      0.01    0.6078    0.6078
       100       0.1    0.6097    0.6097
       100         1     0.604    0.6097
       100        10     0.596    0.6097
       100       100     0.555    0.6097
       100      1000    0.5708    0.6097
       100     1e+04    0.4921    0.6097
       100     1e+05    0.5327    0.6097
      1000     1e-05    0.4757    0.6097
      1000    0.0001    0.4902    0.6097
      1000     0.001    0.6045    0.6097
      1000      0.01    0.6283    0.6283
      1000       0.1    0.6473    0.6473
      1000         1    0.5913    0.6473
      1000        10    0.5087    0.6473
      1000       100    0.5165    0.6473
      1000      1000    0.5422    0.6473
      1000     1e+04    0.4288    0.6473
      1000     1e+05    0.5122    0.6473
     1e+04     1e-05    0.4768    0.6473
     1e+04    0.0001    0.5996    0.6473
     1e+04     0.001    0.6225    0.6473
     1e+04      0.01    0.6254    0.6473
     1e+04       0.1    0.6244    0.6473
     1e+04         1    0.5977    0.6473
     1e+04        10    0.5302    0.6473
     1e+04       100    0.5129    0.6473
     1e+04      1000    0.5055    0.6473
     1e+04     1e+04    0.5442    0.6473
     1e+04     1e+05    0.5398    0.6473
     1e+05     1e-05    0.5528    0.6473
     1e+05    0.0001    0.6003    0.6473
     1e+05     0.001    0.5901    0.6473
     1e+05      0.01    0.6007    0.6473
     1e+05       0.1     0.591    0.6473
     1e+05         1    0.5558    0.6473
     1e+05        10    0.4406    0.6473
     1e+05       100    0.4441    0.6473
     1e+05      1000    0.4895    0.6473
     1e+05     1e+04    0.5419    0.6473
     1e+05     1e+05    0.5012    0.6473
******************************************
Best CWS_eta=1000	 CWS_r=0.1	 AP_test=0.6473
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.6058    0.6058
    0.0001    0.6168    0.6168
     0.001    0.6199    0.6199
      0.01    0.6182    0.6199
       0.1    0.5919    0.6199
         1    0.5804    0.6199
        10    0.5501    0.6199
       100     0.363    0.6199
      1000    0.2983    0.6199
     1e+04    0.2819    0.6199
     1e+05     0.278    0.6199
******************************************
Best AROMA_r=0.001	 AP_test=0.6199
******************************************
