   OASIS_C  AP_test best_AP_test
     1e-05    0.2907    0.2907
    0.0001    0.2907    0.2907
     0.001    0.2898    0.2907
      0.01    0.3285    0.3285
       0.1    0.3223    0.3285
         1    0.4918    0.4918
        10    0.5606    0.5606
       100    0.5458    0.5606
      1000    0.5325    0.5606
     1e+04    0.5307    0.5606
     1e+05    0.5308    0.5606
******************************************
Best OASIS_C: 	10	 AP_test=0.5606
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.4487    0.4487
     1e-05    0.0001    0.4974    0.4974
     1e-05     0.001    0.5503    0.5503
     1e-05      0.01     0.589     0.589
     1e-05       0.1    0.5236     0.589
     1e-05         1    0.3995     0.589
     1e-05        10    0.3312     0.589
     1e-05       100    0.3256     0.589
     1e-05      1000     0.305     0.589
     1e-05     1e+04    0.2927     0.589
     1e-05     1e+05     0.291     0.589
    0.0001     1e-05    0.4487     0.589
    0.0001    0.0001    0.4974     0.589
    0.0001     0.001    0.5503     0.589
    0.0001      0.01     0.589     0.589
    0.0001       0.1    0.5236     0.589
    0.0001         1    0.3995     0.589
    0.0001        10    0.3312     0.589
    0.0001       100    0.3256     0.589
    0.0001      1000     0.305     0.589
    0.0001     1e+04    0.2927     0.589
    0.0001     1e+05     0.291     0.589
     0.001     1e-05    0.4487     0.589
     0.001    0.0001    0.4974     0.589
     0.001     0.001    0.5503     0.589
     0.001      0.01     0.589     0.589
     0.001       0.1    0.5236     0.589
     0.001         1    0.3995     0.589
     0.001        10    0.3312     0.589
     0.001       100    0.3256     0.589
     0.001      1000    0.3045     0.589
     0.001     1e+04    0.2937     0.589
     0.001     1e+05    0.2896     0.589
      0.01     1e-05    0.4487     0.589
      0.01    0.0001    0.4974     0.589
      0.01     0.001    0.5503     0.589
      0.01      0.01     0.589     0.589
      0.01       0.1    0.5236     0.589
      0.01         1    0.3995     0.589
      0.01        10    0.3312     0.589
      0.01       100    0.3279     0.589
      0.01      1000    0.3238     0.589
      0.01     1e+04    0.3279     0.589
      0.01     1e+05    0.3292     0.589
       0.1     1e-05    0.4487     0.589
       0.1    0.0001    0.4974     0.589
       0.1     0.001    0.5503     0.589
       0.1      0.01     0.589     0.589
       0.1       0.1    0.5236     0.589
       0.1         1    0.4004     0.589
       0.1        10    0.3277     0.589
       0.1       100    0.3184     0.589
       0.1      1000    0.3204     0.589
       0.1     1e+04    0.3213     0.589
       0.1     1e+05    0.3206     0.589
         1     1e-05    0.4487     0.589
         1    0.0001    0.4974     0.589
         1     0.001    0.5503     0.589
         1      0.01     0.589     0.589
         1       0.1    0.5276     0.589
         1         1    0.4839     0.589
         1        10    0.5078     0.589
         1       100    0.5044     0.589
         1      1000    0.4881     0.589
         1     1e+04    0.4755     0.589
         1     1e+05    0.4754     0.589
        10     1e-05    0.4487     0.589
        10    0.0001    0.4974     0.589
        10     0.001    0.5503     0.589
        10      0.01    0.5942    0.5942
        10       0.1    0.6694    0.6694
        10         1    0.6879    0.6879
        10        10    0.6686    0.6879
        10       100    0.5872    0.6879
        10      1000    0.5286    0.6879
        10     1e+04    0.5247    0.6879
        10     1e+05    0.5202    0.6879
       100     1e-05    0.4487    0.6879
       100    0.0001    0.4974    0.6879
       100     0.001    0.5627    0.6879
       100      0.01    0.7348    0.7348
       100       0.1    0.7329    0.7348
       100         1    0.7042    0.7348
       100        10    0.6011    0.7348
       100       100    0.5072    0.7348
       100      1000    0.4907    0.7348
       100     1e+04    0.4979    0.7348
       100     1e+05    0.5017    0.7348
      1000     1e-05    0.4487    0.7348
      1000    0.0001    0.5184    0.7348
      1000     0.001    0.7365    0.7365
      1000      0.01    0.7603    0.7603
      1000       0.1     0.718    0.7603
      1000         1    0.6727    0.7603
      1000        10    0.5683    0.7603
      1000       100    0.5635    0.7603
      1000      1000     0.494    0.7603
      1000     1e+04    0.4961    0.7603
      1000     1e+05     0.521    0.7603
     1e+04     1e-05    0.4693    0.7603
     1e+04    0.0001     0.657    0.7603
     1e+04     0.001     0.766     0.766
     1e+04      0.01    0.7293     0.766
     1e+04       0.1    0.6926     0.766
     1e+04         1    0.6375     0.766
     1e+04        10    0.5832     0.766
     1e+04       100    0.5623     0.766
     1e+04      1000    0.5446     0.766
     1e+04     1e+04    0.5174     0.766
     1e+04     1e+05    0.4936     0.766
     1e+05     1e-05    0.5442     0.766
     1e+05    0.0001    0.7371     0.766
     1e+05     0.001    0.7275     0.766
     1e+05      0.01    0.7054     0.766
     1e+05       0.1    0.6801     0.766
     1e+05         1    0.6453     0.766
     1e+05        10    0.5527     0.766
     1e+05       100    0.5192     0.766
     1e+05      1000    0.5122     0.766
     1e+05     1e+04    0.4983     0.766
     1e+05     1e+05    0.4948     0.766
******************************************
Best CWS_eta=1e+04	 CWS_r=0.001	 AP_test=0.766
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.7915    0.7915
    0.0001    0.7896    0.7915
     0.001    0.7701    0.7915
      0.01    0.7432    0.7915
       0.1    0.7029    0.7915
         1    0.5688    0.7915
        10    0.3668    0.7915
       100    0.3216    0.7915
      1000    0.3189    0.7915
     1e+04     0.295    0.7915
     1e+05    0.2917    0.7915
******************************************
Best AROMA_r=1e-05	 AP_test=0.7915
******************************************
