   OASIS_C  AP_test best_AP_test
    1e-005    0.5125    0.5125
    0.0001    0.5135    0.5135
     0.001       0.5    0.5135
      0.01    0.4545    0.5135
       0.1     0.416    0.5135
         1     0.397    0.5135
        10    0.3715    0.5135
       100    0.3905    0.5135
      1000    0.3965    0.5135
    1e+004     0.403    0.5135
    1e+005     0.403    0.5135
******************************************
Best OASIS_C: 	0.0001	 AP_test=0.5135
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.5125    0.5125
    1e-005    0.0001    0.5125    0.5125
    1e-005     0.001    0.5125    0.5125
    1e-005      0.01    0.5125    0.5125
    1e-005       0.1    0.5125    0.5125
    1e-005         1    0.5125    0.5125
    1e-005        10    0.5125    0.5125
    1e-005       100    0.5125    0.5125
    1e-005      1000    0.5125    0.5125
    1e-005    1e+004    0.5125    0.5125
    1e-005    1e+005    0.5125    0.5125
    0.0001    1e-005    0.5125    0.5125
    0.0001    0.0001    0.5125    0.5125
    0.0001     0.001    0.5125    0.5125
    0.0001      0.01    0.5125    0.5125
    0.0001       0.1    0.5125    0.5125
    0.0001         1    0.5125    0.5125
    0.0001        10    0.5125    0.5125
    0.0001       100     0.513     0.513
    0.0001      1000    0.5135    0.5135
    0.0001    1e+004    0.5135    0.5135
    0.0001    1e+005    0.5135    0.5135
     0.001    1e-005    0.5125    0.5135
     0.001    0.0001    0.5125    0.5135
     0.001     0.001    0.5125    0.5135
     0.001      0.01    0.5125    0.5135
     0.001       0.1    0.5125    0.5135
     0.001         1    0.5125    0.5135
     0.001        10     0.512    0.5135
     0.001       100    0.5035    0.5135
     0.001      1000     0.501    0.5135
     0.001    1e+004       0.5    0.5135
     0.001    1e+005       0.5    0.5135
      0.01    1e-005    0.5125    0.5135
      0.01    0.0001    0.5125    0.5135
      0.01     0.001    0.5125    0.5135
      0.01      0.01     0.512    0.5135
      0.01       0.1     0.513    0.5135
      0.01         1     0.505    0.5135
      0.01        10     0.496    0.5135
      0.01       100    0.4735    0.5135
      0.01      1000     0.457    0.5135
      0.01    1e+004     0.454    0.5135
      0.01    1e+005    0.4545    0.5135
       0.1    1e-005    0.5125    0.5135
       0.1    0.0001    0.5125    0.5135
       0.1     0.001    0.5115    0.5135
       0.1      0.01    0.5135    0.5135
       0.1       0.1     0.503    0.5135
       0.1         1    0.4835    0.5135
       0.1        10    0.4425    0.5135
       0.1       100    0.4225    0.5135
       0.1      1000      0.42    0.5135
       0.1    1e+004    0.4215    0.5135
       0.1    1e+005    0.4225    0.5135
         1    1e-005    0.5125    0.5135
         1    0.0001    0.5125    0.5135
         1     0.001      0.51    0.5135
         1      0.01    0.4955    0.5135
         1       0.1    0.4565    0.5135
         1         1     0.424    0.5135
         1        10     0.383    0.5135
         1       100     0.386    0.5135
         1      1000    0.3855    0.5135
         1    1e+004    0.3815    0.5135
         1    1e+005     0.382    0.5135
        10    1e-005    0.5125    0.5135
        10    0.0001      0.51    0.5135
        10     0.001     0.499    0.5135
        10      0.01     0.427    0.5135
        10       0.1     0.415    0.5135
        10         1    0.3665    0.5135
        10        10     0.357    0.5135
        10       100     0.377    0.5135
        10      1000    0.3675    0.5135
        10    1e+004    0.3725    0.5135
        10    1e+005    0.3725    0.5135
       100    1e-005      0.51    0.5135
       100    0.0001     0.503    0.5135
       100     0.001      0.44    0.5135
       100      0.01       0.4    0.5135
       100       0.1     0.391    0.5135
       100         1    0.3775    0.5135
       100        10     0.342    0.5135
       100       100    0.3615    0.5135
       100      1000     0.366    0.5135
       100    1e+004     0.355    0.5135
       100    1e+005    0.3605    0.5135
      1000    1e-005     0.502    0.5135
      1000    0.0001    0.4315    0.5135
      1000     0.001     0.411    0.5135
      1000      0.01     0.398    0.5135
      1000       0.1    0.3855    0.5135
      1000         1    0.3605    0.5135
      1000        10    0.3705    0.5135
      1000       100     0.353    0.5135
      1000      1000     0.363    0.5135
      1000    1e+004    0.3685    0.5135
      1000    1e+005    0.3685    0.5135
    1e+004    1e-005     0.393    0.5135
    1e+004    0.0001     0.364    0.5135
    1e+004     0.001    0.3735    0.5135
    1e+004      0.01    0.4005    0.5135
    1e+004       0.1     0.403    0.5135
    1e+004         1    0.3825    0.5135
    1e+004        10    0.3755    0.5135
    1e+004       100     0.346    0.5135
    1e+004      1000    0.3715    0.5135
    1e+004    1e+004    0.3645    0.5135
    1e+004    1e+005     0.364    0.5135
    1e+005    1e-005     0.345    0.5135
    1e+005    0.0001      0.36    0.5135
    1e+005     0.001    0.3545    0.5135
    1e+005      0.01     0.398    0.5135
    1e+005       0.1     0.381    0.5135
    1e+005         1    0.3765    0.5135
    1e+005        10     0.379    0.5135
    1e+005       100     0.352    0.5135
    1e+005      1000    0.3715    0.5135
    1e+005    1e+004     0.369    0.5135
    1e+005    1e+005     0.364    0.5135
******************************************
Best AROW_eta=0.0001	 AROW_r=1000	 AP_test=0.5135
******************************************
  AROWC_r   AP_test best_AP_test 
    1e-005     0.423     0.423
    0.0001    0.4185     0.423
     0.001      0.42     0.423
      0.01    0.4155     0.423
       0.1     0.399     0.423
         1     0.404     0.423
        10     0.426     0.426
       100    0.4835    0.4835
      1000     0.507     0.507
    1e+004     0.512     0.512
    1e+005    0.5125    0.5125
******************************************
Best AROWC_r=1e+005	 AP_test=0.5125
******************************************
