   OASIS_C   AP_testbest_AP_test
    1e-005      0.47      0.47
    0.0001      0.47      0.47
     0.001      0.47      0.47
      0.01    0.5356    0.5356
       0.1     0.577     0.577
         1    0.5816    0.5816
        10    0.5568    0.5816
       100    0.5148    0.5816
      1000    0.5148    0.5816
    1e+004    0.5148    0.5816
    1e+005    0.5148    0.5816
******************************************
Best OASIS_C: 	1	 AP_test=0.5816
******************************************
  AROW_eta    AROW_r   AP_testbest_AP_test
    1e-005    1e-005    0.4742    0.4742
    1e-005    0.0001    0.5206    0.5206
    1e-005     0.001    0.5971    0.5971
    1e-005      0.01    0.6615    0.6615
    1e-005       0.1    0.6818    0.6818
    1e-005         1    0.6548    0.6818
    1e-005        10    0.5858    0.6818
    1e-005       100    0.5266    0.6818
    1e-005      1000    0.4896    0.6818
    1e-005    1e+004     0.475    0.6818
    1e-005    1e+005    0.4709    0.6818
    0.0001    1e-005    0.4742    0.6818
    0.0001    0.0001    0.5206    0.6818
    0.0001     0.001    0.5971    0.6818
    0.0001      0.01    0.6615    0.6818
    0.0001       0.1    0.6818    0.6818
    0.0001         1    0.6548    0.6818
    0.0001        10    0.5858    0.6818
    0.0001       100    0.5266    0.6818
    0.0001      1000    0.4896    0.6818
    0.0001    1e+004     0.475    0.6818
    0.0001    1e+005    0.4709    0.6818
     0.001    1e-005    0.4742    0.6818
     0.001    0.0001    0.5206    0.6818
     0.001     0.001    0.5971    0.6818
     0.001      0.01    0.6615    0.6818
     0.001       0.1    0.6818    0.6818
     0.001         1    0.6548    0.6818
     0.001        10    0.5858    0.6818
     0.001       100    0.5266    0.6818
     0.001      1000    0.4896    0.6818
     0.001    1e+004     0.475    0.6818
     0.001    1e+005    0.4709    0.6818
      0.01    1e-005    0.4742    0.6818
      0.01    0.0001    0.5206    0.6818
      0.01     0.001    0.5971    0.6818
      0.01      0.01    0.6615    0.6818
      0.01       0.1    0.6818    0.6818
      0.01         1    0.6548    0.6818
      0.01        10    0.5858    0.6818
      0.01       100    0.5422    0.6818
      0.01      1000    0.5378    0.6818
      0.01    1e+004    0.5364    0.6818
      0.01    1e+005    0.5354    0.6818
       0.1    1e-005    0.4742    0.6818
       0.1    0.0001    0.5206    0.6818
       0.1     0.001    0.5971    0.6818
       0.1      0.01    0.6615    0.6818
       0.1       0.1    0.6818    0.6818
       0.1         1    0.6546    0.6818
       0.1        10    0.6178    0.6818
       0.1       100    0.6009    0.6818
       0.1      1000    0.5818    0.6818
       0.1    1e+004    0.5789    0.6818
       0.1    1e+005    0.5776    0.6818
         1    1e-005    0.4742    0.6818
         1    0.0001    0.5206    0.6818
         1     0.001    0.5971    0.6818
         1      0.01    0.6615    0.6818
         1       0.1    0.6819    0.6819
         1         1     0.695     0.695
         1        10    0.6594     0.695
         1       100    0.6327     0.695
         1      1000    0.5948     0.695
         1    1e+004    0.5792     0.695
         1    1e+005    0.5884     0.695
        10    1e-005    0.4742     0.695
        10    0.0001    0.5206     0.695
        10     0.001    0.5971     0.695
        10      0.01    0.6616     0.695
        10       0.1    0.7161    0.7161
        10         1    0.6807    0.7161
        10        10    0.6382    0.7161
        10       100    0.5632    0.7161
        10      1000    0.5483    0.7161
        10    1e+004    0.5324    0.7161
        10    1e+005    0.5472    0.7161
       100    1e-005    0.4742    0.7161
       100    0.0001    0.5206    0.7161
       100     0.001    0.5996    0.7161
       100      0.01    0.7292    0.7292
       100       0.1    0.6894    0.7292
       100         1    0.6326    0.7292
       100        10    0.5802    0.7292
       100       100    0.5628    0.7292
       100      1000    0.4941    0.7292
       100    1e+004    0.4839    0.7292
       100    1e+005    0.5112    0.7292
      1000    1e-005    0.4742    0.7292
      1000    0.0001    0.5251    0.7292
      1000     0.001    0.7269    0.7292
      1000      0.01    0.7002    0.7292
      1000       0.1    0.6426    0.7292
      1000         1    0.6023    0.7292
      1000        10    0.5942    0.7292
      1000       100    0.5227    0.7292
      1000      1000    0.5121    0.7292
      1000    1e+004    0.4955    0.7292
      1000    1e+005     0.525    0.7292
    1e+004    1e-005    0.4841    0.7292
    1e+004    0.0001    0.7204    0.7292
    1e+004     0.001    0.7116    0.7292
    1e+004      0.01    0.6591    0.7292
    1e+004       0.1    0.6151    0.7292
    1e+004         1    0.5961    0.7292
    1e+004        10    0.5592    0.7292
    1e+004       100    0.5226    0.7292
    1e+004      1000    0.5296    0.7292
    1e+004    1e+004    0.5216    0.7292
    1e+004    1e+005    0.4656    0.7292
    1e+005    1e-005     0.706    0.7292
    1e+005    0.0001    0.7075    0.7292
    1e+005     0.001    0.6764    0.7292
    1e+005      0.01    0.6532    0.7292
    1e+005       0.1    0.6108    0.7292
    1e+005         1    0.5894    0.7292
    1e+005        10    0.5654    0.7292
    1e+005       100    0.5428    0.7292
    1e+005      1000    0.4839    0.7292
    1e+005    1e+004    0.5382    0.7292
    1e+005    1e+005    0.4786    0.7292
******************************************
Best AROW_eta=100	 AROW_r=0.01	 AP_test=0.7292
******************************************
   AROWC_r   AP_testbest_AP_test
    1e-005    0.7391    0.7391
    0.0001    0.7388    0.7391
     0.001    0.7364    0.7391
      0.01    0.7282    0.7391
       0.1    0.7151    0.7391
         1    0.6971    0.7391
        10    0.6345    0.7391
       100    0.5514    0.7391
      1000     0.504    0.7391
    1e+004    0.4781    0.7391
    1e+005    0.4714    0.7391
******************************************
Best AROWC_r=1e-005	 AP_test=0.7391
******************************************
