   OASIS_C  AP_test best_AP_test
    1e-005    0.2503    0.2503
    0.0001    0.2502    0.2503
     0.001    0.2498    0.2503
      0.01    0.2275    0.2503
       0.1    0.1629    0.2503
         1    0.1537    0.2503
        10    0.1564    0.2503
       100    0.1549    0.2503
      1000    0.1551    0.2503
    1e+004    0.1551    0.2503
    1e+005    0.1551    0.2503
******************************************
Best OASIS_C: 	1e-005	 AP_test=0.2503
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.2507    0.2507
    1e-005    0.0001    0.2507    0.2507
    1e-005     0.001    0.2507    0.2507
    1e-005      0.01    0.2507    0.2507
    1e-005       0.1    0.2507    0.2507
    1e-005         1    0.2507    0.2507
    1e-005        10    0.2507    0.2507
    1e-005       100    0.2503    0.2507
    1e-005      1000    0.2502    0.2507
    1e-005    1e+004    0.2503    0.2507
    1e-005    1e+005    0.2503    0.2507
    0.0001    1e-005    0.2507    0.2507
    0.0001    0.0001    0.2507    0.2507
    0.0001     0.001    0.2507    0.2507
    0.0001      0.01    0.2507    0.2507
    0.0001       0.1    0.2507    0.2507
    0.0001         1    0.2505    0.2507
    0.0001        10      0.25    0.2507
    0.0001       100    0.2498    0.2507
    0.0001      1000    0.2503    0.2507
    0.0001    1e+004    0.2502    0.2507
    0.0001    1e+005    0.2502    0.2507
     0.001    1e-005    0.2507    0.2507
     0.001    0.0001    0.2507    0.2507
     0.001     0.001    0.2507    0.2507
     0.001      0.01    0.2507    0.2507
     0.001       0.1    0.2507    0.2507
     0.001         1    0.2503    0.2507
     0.001        10    0.2493    0.2507
     0.001       100    0.2488    0.2507
     0.001      1000    0.2483    0.2507
     0.001    1e+004    0.2498    0.2507
     0.001    1e+005    0.2498    0.2507
      0.01    1e-005    0.2507    0.2507
      0.01    0.0001    0.2507    0.2507
      0.01     0.001    0.2507    0.2507
      0.01      0.01    0.2505    0.2507
      0.01       0.1      0.25    0.2507
      0.01         1    0.2495    0.2507
      0.01        10    0.2488    0.2507
      0.01       100    0.2447    0.2507
      0.01      1000    0.2324    0.2507
      0.01    1e+004    0.2286    0.2507
      0.01    1e+005    0.2278    0.2507
       0.1    1e-005    0.2507    0.2507
       0.1    0.0001    0.2507    0.2507
       0.1     0.001    0.2505    0.2507
       0.1      0.01    0.2495    0.2507
       0.1       0.1    0.2498    0.2507
       0.1         1    0.2392    0.2507
       0.1        10    0.1917    0.2507
       0.1       100    0.1729    0.2507
       0.1      1000    0.1654    0.2507
       0.1    1e+004    0.1622    0.2507
       0.1    1e+005    0.1629    0.2507
         1    1e-005    0.2507    0.2507
         1    0.0001    0.2505    0.2507
         1     0.001    0.2488    0.2507
         1      0.01    0.2475    0.2507
         1       0.1    0.2058    0.2507
         1         1    0.1671    0.2507
         1        10    0.1546    0.2507
         1       100     0.151    0.2507
         1      1000    0.1534    0.2507
         1    1e+004    0.1536    0.2507
         1    1e+005    0.1554    0.2507
        10    1e-005    0.2507    0.2507
        10    0.0001     0.249    0.2507
        10     0.001    0.2486    0.2507
        10      0.01    0.1786    0.2507
        10       0.1    0.1576    0.2507
        10         1    0.1524    0.2507
        10        10    0.1527    0.2507
        10       100    0.1527    0.2507
        10      1000    0.1503    0.2507
        10    1e+004    0.1549    0.2507
        10    1e+005    0.1512    0.2507
       100    1e-005     0.249    0.2507
       100    0.0001    0.2461    0.2507
       100     0.001    0.1786    0.2507
       100      0.01    0.1534    0.2507
       100       0.1    0.1536    0.2507
       100         1    0.1524    0.2507
       100        10    0.1634    0.2507
       100       100    0.1542    0.2507
       100      1000    0.1542    0.2507
       100    1e+004    0.1532    0.2507
       100    1e+005    0.1578    0.2507
      1000    1e-005    0.2451    0.2507
      1000    0.0001    0.1731    0.2507
      1000     0.001    0.1517    0.2507
      1000      0.01    0.1551    0.2507
      1000       0.1    0.1568    0.2507
      1000         1    0.1546    0.2507
      1000        10     0.159    0.2507
      1000       100    0.1534    0.2507
      1000      1000    0.1514    0.2507
      1000    1e+004    0.1534    0.2507
      1000    1e+005    0.1495    0.2507
    1e+004    1e-005    0.1654    0.2507
    1e+004    0.0001    0.1492    0.2507
    1e+004     0.001    0.1551    0.2507
    1e+004      0.01    0.1571    0.2507
    1e+004       0.1    0.1483    0.2507
    1e+004         1    0.1522    0.2507
    1e+004        10    0.1614    0.2507
    1e+004       100    0.1519    0.2507
    1e+004      1000    0.1522    0.2507
    1e+004    1e+004    0.1485    0.2507
    1e+004    1e+005    0.1558    0.2507
    1e+005    1e-005     0.151    0.2507
    1e+005    0.0001    0.1551    0.2507
    1e+005     0.001    0.1515    0.2507
    1e+005      0.01    0.1507    0.2507
    1e+005       0.1    0.1564    0.2507
    1e+005         1    0.1497    0.2507
    1e+005        10    0.1503    0.2507
    1e+005       100    0.1556    0.2507
    1e+005      1000    0.1564    0.2507
    1e+005    1e+004    0.1559    0.2507
    1e+005    1e+005    0.1463    0.2507
******************************************
Best AROW_eta=0.001	 AROW_r=0.1	 AP_test=0.2507
******************************************
  AROWC_r   AP_test best_AP_test 
    1e-005    0.1634    0.1634
    0.0001    0.1617    0.1634
     0.001     0.158    0.1634
      0.01    0.1583    0.1634
       0.1    0.1558    0.1634
         1      0.16    0.1634
        10    0.2114    0.2114
       100    0.2468    0.2468
      1000    0.2481    0.2481
    1e+004    0.2507    0.2507
    1e+005    0.2503    0.2507
******************************************
Best AROWC_r=1e+004	 AP_test=0.2507
******************************************
