   OASIS_C  AP_test best_AP_test
    1e-005    0.3141    0.3141
    0.0001    0.3141    0.3141
     0.001    0.3141    0.3141
      0.01    0.3141    0.3141
       0.1    0.3909    0.3909
         1    0.5304    0.5304
        10    0.5316    0.5316
       100     0.598     0.598
      1000    0.5635     0.598
    1e+004    0.5637     0.598
    1e+005    0.5637     0.598
******************************************
Best OASIS_C: 	100	 AP_test=0.598
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.4873    0.4873
    1e-005    0.0001    0.5405    0.5405
    1e-005     0.001    0.5632    0.5632
    1e-005      0.01    0.5699    0.5699
    1e-005       0.1    0.5839    0.5839
    1e-005         1    0.5192    0.5839
    1e-005        10    0.3363    0.5839
    1e-005       100    0.3201    0.5839
    1e-005      1000    0.3155    0.5839
    1e-005    1e+004    0.3143    0.5839
    1e-005    1e+005    0.3141    0.5839
    0.0001    1e-005    0.4873    0.5839
    0.0001    0.0001    0.5405    0.5839
    0.0001     0.001    0.5632    0.5839
    0.0001      0.01    0.5699    0.5839
    0.0001       0.1    0.5839    0.5839
    0.0001         1    0.5192    0.5839
    0.0001        10    0.3363    0.5839
    0.0001       100    0.3201    0.5839
