   OASIS_C   AP_testbest_AP_test
    1e-005    0.3075    0.3075
    0.0001    0.3075    0.3075
     0.001    0.3059    0.3075
      0.01     0.355     0.355
       0.1    0.3611    0.3611
         1    0.5383    0.5383
        10    0.5093    0.5383
       100    0.5056    0.5383
      1000    0.5143    0.5383
    1e+004    0.5122    0.5383
    1e+005    0.5122    0.5383
******************************************
Best OASIS_C: 	1	 AP_test=0.5383
******************************************
  AROW_eta    AROW_r   AP_testbest_AP_test
    1e-005    1e-005    0.4361    0.4361
    1e-005    0.0001    0.4873    0.4873
    1e-005     0.001    0.5527    0.5527
    1e-005      0.01    0.6039    0.6039
    1e-005       0.1    0.5845    0.6039
    1e-005         1    0.4549    0.6039
    1e-005        10    0.3762    0.6039
    1e-005       100    0.3481    0.6039
    1e-005      1000    0.3241    0.6039
    1e-005    1e+004    0.3093    0.6039
    1e-005    1e+005    0.3079    0.6039
    0.0001    1e-005    0.4361    0.6039
    0.0001    0.0001    0.4873    0.6039
    0.0001     0.001    0.5527    0.6039
    0.0001      0.01    0.6039    0.6039
    0.0001       0.1    0.5845    0.6039
    0.0001         1    0.4549    0.6039
    0.0001        10    0.3762    0.6039
    0.0001       100    0.3481    0.6039
    0.0001      1000    0.3241    0.6039
    0.0001    1e+004    0.3093    0.6039
    0.0001    1e+005    0.3079    0.6039
     0.001    1e-005    0.4361    0.6039
     0.001    0.0001    0.4873    0.6039
     0.001     0.001    0.5527    0.6039
     0.001      0.01    0.6039    0.6039
     0.001       0.1    0.5845    0.6039
     0.001         1    0.4549    0.6039
     0.001        10    0.3762    0.6039
     0.001       100    0.3481    0.6039
     0.001      1000    0.3229    0.6039
     0.001    1e+004    0.3093    0.6039
     0.001    1e+005    0.3064    0.6039
      0.01    1e-005    0.4361    0.6039
      0.01    0.0001    0.4873    0.6039
      0.01     0.001    0.5527    0.6039
      0.01      0.01    0.6039    0.6039
      0.01       0.1    0.5845    0.6039
      0.01         1    0.4549    0.6039
      0.01        10    0.3762    0.6039
      0.01       100    0.3513    0.6039
      0.01      1000    0.3507    0.6039
      0.01    1e+004    0.3545    0.6039
      0.01    1e+005     0.355    0.6039
       0.1    1e-005    0.4361    0.6039
       0.1    0.0001    0.4873    0.6039
       0.1     0.001    0.5527    0.6039
       0.1      0.01    0.6039    0.6039
       0.1       0.1    0.5845    0.6039
       0.1         1     0.455    0.6039
       0.1        10    0.3848    0.6039
       0.1       100    0.3626    0.6039
       0.1      1000    0.3594    0.6039
       0.1    1e+004     0.361    0.6039
       0.1    1e+005    0.3611    0.6039
         1    1e-005    0.4361    0.6039
         1    0.0001    0.4873    0.6039
         1     0.001    0.5527    0.6039
         1      0.01    0.6039    0.6039
         1       0.1    0.5853    0.6039
         1         1    0.5446    0.6039
         1        10    0.5602    0.6039
         1       100    0.5663    0.6039
         1      1000    0.5457    0.6039
         1    1e+004    0.5318    0.6039
         1    1e+005    0.5341    0.6039
        10    1e-005    0.4361    0.6039
        10    0.0001    0.4873    0.6039
        10     0.001    0.5527    0.6039
        10      0.01    0.6065    0.6065
        10       0.1    0.6899    0.6899
        10         1    0.6977    0.6977
        10        10    0.6952    0.6977
        10       100     0.635    0.6977
        10      1000    0.5736    0.6977
        10    1e+004    0.5453    0.6977
        10    1e+005    0.4856    0.6977
       100    1e-005    0.4361    0.6977
       100    0.0001    0.4874    0.6977
       100     0.001    0.5563    0.6977
       100      0.01    0.7536    0.7536
       100       0.1    0.7663    0.7663
       100         1    0.7393    0.7663
       100        10    0.6666    0.7663
       100       100    0.6022    0.7663
       100      1000    0.5027    0.7663
       100    1e+004    0.5174    0.7663
       100    1e+005    0.5167    0.7663
      1000    1e-005    0.4361    0.7663
      1000    0.0001    0.5034    0.7663
      1000     0.001    0.7722    0.7722
      1000      0.01    0.7842    0.7842
      1000       0.1    0.7541    0.7842
      1000         1    0.7226    0.7842
      1000        10    0.6496    0.7842
      1000       100    0.5349    0.7842
      1000      1000    0.4786    0.7842
      1000    1e+004    0.5286    0.7842
      1000    1e+005    0.4858    0.7842
    1e+004    1e-005    0.4597    0.7842
    1e+004    0.0001    0.7328    0.7842
    1e+004     0.001    0.7929    0.7929
    1e+004      0.01    0.7504    0.7929
    1e+004       0.1    0.7237    0.7929
    1e+004         1    0.6741    0.7929
    1e+004        10    0.5881    0.7929
    1e+004       100    0.5166    0.7929
    1e+004      1000    0.5235    0.7929
    1e+004    1e+004    0.5522    0.7929
    1e+004    1e+005    0.4944    0.7929
    1e+005    1e-005    0.6455    0.7929
    1e+005    0.0001    0.7714    0.7929
    1e+005     0.001    0.7514    0.7929
    1e+005      0.01    0.7345    0.7929
    1e+005       0.1    0.7066    0.7929
    1e+005         1    0.6791    0.7929
    1e+005        10    0.6245    0.7929
    1e+005       100    0.5584    0.7929
    1e+005      1000     0.537    0.7929
    1e+005    1e+004    0.4258    0.7929
    1e+005    1e+005    0.5144    0.7929
******************************************
Best AROW_eta=1e+004	 AROW_r=0.001	 AP_test=0.7929
******************************************
   AROWC_r   AP_testbest_AP_test
    1e-005    0.7899    0.7899
    0.0001    0.7955    0.7955
     0.001    0.7946    0.7955
      0.01    0.7726    0.7955
       0.1    0.7174    0.7955
         1    0.6125    0.7955
        10    0.4168    0.7955
       100    0.3594    0.7955
      1000    0.3331    0.7955
    1e+004    0.3127    0.7955
    1e+005    0.3082    0.7955
******************************************
Best AROWC_r=0.0001	 AP_test=0.7955
******************************************
