   OASIS_C  AP_test best_AP_test
    1e-005    0.4153    0.4153
    0.0001    0.4153    0.4153
     0.001     0.414    0.4153
      0.01     0.422     0.422
       0.1     0.514     0.514
         1    0.5151    0.5151
        10    0.3644    0.5151
       100    0.3596    0.5151
      1000     0.326    0.5151
    1e+004    0.3124    0.5151
    1e+005    0.3156    0.5151
******************************************
Best OASIS_C: 	1	 AP_test=0.5151
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.3178    0.3178
    1e-005    0.0001    0.3544    0.3544
    1e-005     0.001    0.3849    0.3849
    1e-005      0.01    0.4276    0.4276
    1e-005       0.1    0.4891    0.4891
    1e-005         1     0.518     0.518
    1e-005        10    0.5153     0.518
    1e-005       100    0.4362     0.518
    1e-005      1000    0.4111     0.518
    1e-005    1e+004    0.4138     0.518
    1e-005    1e+005    0.4153     0.518
    0.0001    1e-005    0.3178     0.518
    0.0001    0.0001    0.3544     0.518
    0.0001     0.001    0.3849     0.518
    0.0001      0.01    0.4276     0.518
    0.0001       0.1    0.4891     0.518
    0.0001         1     0.518     0.518
    0.0001        10    0.5153     0.518
    0.0001       100    0.4362     0.518
    0.0001      1000    0.4111     0.518
    0.0001    1e+004    0.4138     0.518
    0.0001    1e+005    0.4153     0.518
     0.001    1e-005    0.3178     0.518
     0.001    0.0001    0.3544     0.518
     0.001     0.001    0.3849     0.518
     0.001      0.01    0.4276     0.518
     0.001       0.1    0.4891     0.518
     0.001         1     0.518     0.518
     0.001        10    0.5153     0.518
     0.001       100    0.4362     0.518
     0.001      1000    0.4113     0.518
     0.001    1e+004    0.4129     0.518
     0.001    1e+005    0.4138     0.518
      0.01    1e-005    0.3178     0.518
      0.01    0.0001    0.3544     0.518
      0.01     0.001    0.3849     0.518
      0.01      0.01    0.4276     0.518
      0.01       0.1    0.4891     0.518
      0.01         1     0.518     0.518
      0.01        10    0.5153     0.518
      0.01       100    0.4422     0.518
      0.01      1000    0.4253     0.518
      0.01    1e+004    0.4224     0.518
      0.01    1e+005    0.4218     0.518
       0.1    1e-005    0.3178     0.518
       0.1    0.0001    0.3544     0.518
       0.1     0.001    0.3849     0.518
       0.1      0.01    0.4276     0.518
       0.1       0.1    0.4891     0.518
       0.1         1    0.5182    0.5182
       0.1        10    0.5224    0.5224
       0.1       100    0.5233    0.5233
       0.1      1000    0.5116    0.5233
       0.1    1e+004    0.5162    0.5233
       0.1    1e+005    0.5149    0.5233
         1    1e-005    0.3178    0.5233
         1    0.0001    0.3544    0.5233
         1     0.001    0.3849    0.5233
         1      0.01    0.4276    0.5233
         1       0.1    0.4889    0.5233
         1         1    0.5144    0.5233
         1        10    0.5173    0.5233
         1       100    0.5049    0.5233
         1      1000    0.5007    0.5233
         1    1e+004    0.5107    0.5233
         1    1e+005     0.488    0.5233
        10    1e-005    0.3178    0.5233
        10    0.0001    0.3544    0.5233
        10     0.001    0.3849    0.5233
        10      0.01    0.4293    0.5233
        10       0.1    0.5029    0.5233
        10         1     0.536     0.536
        10        10    0.5247     0.536
        10       100    0.4971     0.536
        10      1000     0.484     0.536
        10    1e+004    0.4709     0.536
        10    1e+005    0.4713     0.536
       100    1e-005    0.3178     0.536
       100    0.0001    0.3544     0.536
       100     0.001    0.3864     0.536
       100      0.01    0.4933     0.536
       100       0.1    0.5158     0.536
       100         1    0.5009     0.536
       100        10     0.466     0.536
       100       100    0.4209     0.536
       100      1000    0.4076     0.536
       100    1e+004     0.448     0.536
       100    1e+005    0.4064     0.536
      1000    1e-005    0.3176     0.536
      1000    0.0001    0.3616     0.536
      1000     0.001     0.466     0.536
      1000      0.01    0.5082     0.536
      1000       0.1    0.4878     0.536
      1000         1    0.4113     0.536
      1000        10    0.4713     0.536
      1000       100    0.4198     0.536
      1000      1000    0.4636     0.536
      1000    1e+004    0.4224     0.536
      1000    1e+005    0.4462     0.536
    1e+004    1e-005    0.3209     0.536
    1e+004    0.0001    0.3716     0.536
    1e+004     0.001    0.4562     0.536
    1e+004      0.01    0.4456     0.536
    1e+004       0.1       0.4     0.536
    1e+004         1    0.4602     0.536
    1e+004        10    0.4502     0.536
    1e+004       100    0.4198     0.536
    1e+004      1000    0.4644     0.536
    1e+004    1e+004    0.4062     0.536
    1e+004    1e+005    0.4422     0.536
    1e+005    1e-005     0.374     0.536
    1e+005    0.0001    0.3436     0.536
    1e+005     0.001    0.3924     0.536
    1e+005      0.01    0.4122     0.536
    1e+005       0.1    0.4113     0.536
    1e+005         1    0.3907     0.536
    1e+005        10    0.4311     0.536
    1e+005       100    0.4471     0.536
    1e+005      1000    0.4404     0.536
    1e+005    1e+004    0.4276     0.536
    1e+005    1e+005    0.3649     0.536
******************************************
Best AROW_eta=10	 AROW_r=1	 AP_test=0.536
******************************************
  AROWC_r   AP_test best_AP_test 
    1e-005    0.4787    0.4787
    0.0001    0.4853    0.4853
     0.001    0.4836    0.4853
      0.01    0.4991    0.4991
       0.1       0.5       0.5
         1    0.4862       0.5
        10    0.5009    0.5009
       100     0.518     0.518
      1000    0.4084     0.518
    1e+004    0.4133     0.518
    1e+005    0.4151     0.518
******************************************
Best AROWC_r=100	 AP_test=0.518
******************************************
