   OASIS_C  AP_test best_AP_test
    1e-005    0.8399    0.8399
    0.0001    0.8399    0.8399
     0.001    0.8399    0.8399
      0.01    0.8407    0.8407
       0.1    0.8626    0.8626
         1    0.8886    0.8886
        10    0.8032    0.8886
       100    0.8412    0.8886
      1000    0.7876    0.8886
    1e+004    0.7123    0.8886
    1e+005    0.5802    0.8886
******************************************
Best OASIS_C: 	1	 AP_test=0.8886
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.4292    0.4292
    1e-005    0.0001    0.5469    0.5469
    1e-005     0.001     0.615     0.615
    1e-005      0.01    0.7459    0.7459
    1e-005       0.1    0.7839    0.7839
    1e-005         1    0.8173    0.8173
    1e-005        10    0.8419    0.8419
    1e-005       100    0.8407    0.8419
    1e-005      1000    0.8405    0.8419
    1e-005    1e+004    0.8399    0.8419
    1e-005    1e+005    0.8399    0.8419
    0.0001    1e-005    0.4292    0.8419
    0.0001    0.0001    0.5469    0.8419
    0.0001     0.001     0.615    0.8419
    0.0001      0.01    0.7459    0.8419
    0.0001       0.1    0.7839    0.8419
    0.0001         1    0.8173    0.8419
    0.0001        10    0.8419    0.8419
    0.0001       100    0.8407    0.8419
    0.0001      1000    0.8405    0.8419
    0.0001    1e+004    0.8399    0.8419
    0.0001    1e+005    0.8399    0.8419
     0.001    1e-005    0.4292    0.8419
     0.001    0.0001    0.5469    0.8419
     0.001     0.001     0.615    0.8419
     0.001      0.01    0.7459    0.8419
     0.001       0.1    0.7839    0.8419
     0.001         1    0.8173    0.8419
     0.001        10    0.8419    0.8419
     0.001       100    0.8407    0.8419
     0.001      1000    0.8405    0.8419
     0.001    1e+004    0.8399    0.8419
     0.001    1e+005    0.8399    0.8419
      0.01    1e-005    0.4292    0.8419
      0.01    0.0001    0.5469    0.8419
      0.01     0.001     0.615    0.8419
      0.01      0.01    0.7459    0.8419
      0.01       0.1    0.7839    0.8419
      0.01         1    0.8173    0.8419
      0.01        10    0.8419    0.8419
      0.01       100    0.8407    0.8419
      0.01      1000    0.8407    0.8419
      0.01    1e+004    0.8407    0.8419
      0.01    1e+005    0.8407    0.8419
       0.1    1e-005    0.4292    0.8419
       0.1    0.0001    0.5469    0.8419
       0.1     0.001     0.615    0.8419
       0.1      0.01    0.7459    0.8419
       0.1       0.1    0.7839    0.8419
       0.1         1    0.8174    0.8419
       0.1        10    0.8319    0.8419
       0.1       100    0.8712    0.8712
       0.1      1000    0.8644    0.8712
       0.1    1e+004    0.8639    0.8712
       0.1    1e+005    0.8642    0.8712
         1    1e-005    0.4292    0.8712
         1    0.0001    0.5469    0.8712
         1     0.001     0.615    0.8712
         1      0.01    0.7459    0.8712
         1       0.1    0.7838    0.8712
         1         1    0.8547    0.8712
         1        10    0.8989    0.8989
         1       100    0.9044    0.9044
         1      1000    0.9021    0.9044
         1    1e+004    0.9079    0.9079
         1    1e+005    0.9075    0.9079
        10    1e-005    0.4292    0.9079
        10    0.0001    0.5469    0.9079
        10     0.001     0.615    0.9079
        10      0.01    0.7479    0.9079
        10       0.1    0.8447    0.9079
        10         1    0.8771    0.9079
        10        10    0.8569    0.9079
        10       100    0.8868    0.9079
        10      1000    0.8491    0.9079
        10    1e+004     0.828    0.9079
        10    1e+005    0.8025    0.9079
       100    1e-005    0.4292    0.9079
       100    0.0001    0.5464    0.9079
       100     0.001    0.6186    0.9079
       100      0.01     0.695    0.9079
       100       0.1    0.7811    0.9079
       100         1    0.7491    0.9079
       100        10    0.7273    0.9079
       100       100     0.803    0.9079
       100      1000    0.8344    0.9079
       100    1e+004    0.7404    0.9079
       100    1e+005     0.699    0.9079
      1000    1e-005    0.4296    0.9079
      1000    0.0001    0.5018    0.9079
      1000     0.001    0.3869    0.9079
      1000      0.01    0.7115    0.9079
      1000       0.1     0.703    0.9079
      1000         1    0.6966    0.9079
      1000        10    0.7288    0.9079
      1000       100    0.7516    0.9079
      1000      1000    0.7876    0.9079
      1000    1e+004    0.7556    0.9079
      1000    1e+005    0.6659    0.9079
    1e+004    1e-005    0.4489    0.9079
    1e+004    0.0001      0.38    0.9079
    1e+004     0.001    0.4841    0.9079
    1e+004      0.01    0.6476    0.9079
    1e+004       0.1    0.6496    0.9079
    1e+004         1    0.6013    0.9079
    1e+004        10    0.7125    0.9079
    1e+004       100    0.7543    0.9079
    1e+004      1000    0.8037    0.9079
    1e+004    1e+004    0.7854    0.9079
    1e+004    1e+005    0.8093    0.9079
    1e+005    1e-005    0.3162    0.9079
    1e+005    0.0001    0.3772    0.9079
    1e+005     0.001    0.4775    0.9079
    1e+005      0.01    0.6057    0.9079
    1e+005       0.1    0.5912    0.9079
    1e+005         1    0.6293    0.9079
    1e+005        10    0.7024    0.9079
    1e+005       100    0.7362    0.9079
    1e+005      1000     0.742    0.9079
    1e+005    1e+004    0.7586    0.9079
    1e+005    1e+005    0.7275    0.9079
******************************************
Best AROW_eta=1	 AROW_r=1e+004	 AP_test=0.9079
******************************************
  AROWC_r   AP_test best_AP_test 
    1e-005    0.6354    0.6354
    0.0001    0.6879    0.6879
     0.001    0.7025    0.7025
      0.01    0.7486    0.7486
       0.1    0.8256    0.8256
         1    0.8693    0.8693
        10    0.8832    0.8832
       100    0.8408    0.8832
      1000    0.8407    0.8832
    1e+004    0.8401    0.8832
    1e+005    0.8399    0.8832
******************************************
Best AROWC_r=10	 AP_test=0.8832
******************************************
