   OASIS_C  AP_test best_AP_test
    1e-005    0.2995    0.2995
    0.0001    0.2995    0.2995
     0.001    0.3037    0.3037
      0.01    0.3238    0.3238
       0.1    0.3325    0.3325
         1    0.3457    0.3457
        10    0.3468    0.3468
       100    0.3468    0.3468
      1000    0.3468    0.3468
    1e+004    0.3468    0.3468
    1e+005    0.3468    0.3468
******************************************
Best OASIS_C: 	10	 AP_test=0.3468
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.3817    0.3817
    1e-005    0.0001    0.3992    0.3992
    1e-005     0.001     0.413     0.413
    1e-005      0.01    0.4283    0.4283
    1e-005       0.1    0.4245    0.4283
    1e-005         1     0.413    0.4283
    1e-005        10     0.369    0.4283
    1e-005       100    0.3388    0.4283
    1e-005      1000     0.331    0.4283
    1e-005    1e+004    0.3072    0.4283
    1e-005    1e+005    0.2995    0.4283
    0.0001    1e-005    0.3817    0.4283
    0.0001    0.0001    0.3992    0.4283
    0.0001     0.001     0.413    0.4283
    0.0001      0.01    0.4283    0.4283
    0.0001       0.1    0.4245    0.4283
    0.0001         1     0.413    0.4283
    0.0001        10     0.369    0.4283
    0.0001       100    0.3388    0.4283
    0.0001      1000     0.331    0.4283
    0.0001    1e+004    0.3072    0.4283
    0.0001    1e+005    0.2995    0.4283
     0.001    1e-005    0.3817    0.4283
     0.001    0.0001    0.3992    0.4283
     0.001     0.001     0.413    0.4283
     0.001      0.01    0.4283    0.4283
     0.001       0.1    0.4245    0.4283
     0.001         1     0.413    0.4283
     0.001        10     0.369    0.4283
     0.001       100    0.3388    0.4283
     0.001      1000     0.331    0.4283
     0.001    1e+004      0.31    0.4283
     0.001    1e+005    0.3035    0.4283
      0.01    1e-005    0.3817    0.4283
      0.01    0.0001    0.3992    0.4283
      0.01     0.001     0.413    0.4283
      0.01      0.01    0.4283    0.4283
      0.01       0.1    0.4245    0.4283
      0.01         1     0.413    0.4283
      0.01        10     0.369    0.4283
      0.01       100     0.339    0.4283
      0.01      1000     0.358    0.4283
      0.01    1e+004    0.3327    0.4283
      0.01    1e+005     0.326    0.4283
       0.1    1e-005    0.3817    0.4283
       0.1    0.0001    0.3992    0.4283
       0.1     0.001     0.413    0.4283
       0.1      0.01    0.4283    0.4283
       0.1       0.1    0.4245    0.4283
       0.1         1    0.4135    0.4283
       0.1        10    0.4123    0.4283
       0.1       100    0.4335    0.4335
       0.1      1000    0.3668    0.4335
       0.1    1e+004    0.3215    0.4335
       0.1    1e+005    0.3337    0.4335
         1    1e-005    0.3817    0.4335
         1    0.0001    0.3992    0.4335
         1     0.001     0.413    0.4335
         1      0.01    0.4283    0.4335
         1       0.1    0.4263    0.4335
         1         1    0.5005    0.5005
         1        10    0.5035    0.5035
         1       100    0.4155    0.5035
         1      1000    0.3478    0.5035
         1    1e+004    0.3215    0.5035
         1    1e+005    0.3218    0.5035
        10    1e-005    0.3817    0.5035
        10    0.0001    0.3992    0.5035
        10     0.001     0.413    0.5035
        10      0.01     0.432    0.5035
        10       0.1    0.5058    0.5058
        10         1    0.5307    0.5307
        10        10    0.4587    0.5307
        10       100    0.3967    0.5307
        10      1000    0.3495    0.5307
        10    1e+004      0.34    0.5307
        10    1e+005     0.314    0.5307
       100    1e-005    0.3817    0.5307
       100    0.0001    0.3992    0.5307
       100     0.001     0.418    0.5307
       100      0.01    0.4702    0.5307
       100       0.1    0.5317    0.5317
       100         1     0.493    0.5317
       100        10    0.4662    0.5317
       100       100     0.401    0.5317
       100      1000    0.3498    0.5317
       100    1e+004    0.3165    0.5317
       100    1e+005     0.317    0.5317
      1000    1e-005    0.3817    0.5317
      1000    0.0001    0.4077    0.5317
      1000     0.001     0.449    0.5317
      1000      0.01     0.474    0.5317
      1000       0.1    0.4827    0.5317
      1000         1    0.4832    0.5317
      1000        10    0.4575    0.5317
      1000       100    0.3905    0.5317
      1000      1000    0.3313    0.5317
      1000    1e+004    0.3205    0.5317
      1000    1e+005    0.3247    0.5317
    1e+004    1e-005    0.3892    0.5317
    1e+004    0.0001    0.4302    0.5317
    1e+004     0.001    0.4453    0.5317
    1e+004      0.01    0.4555    0.5317
    1e+004       0.1    0.4913    0.5317
    1e+004         1     0.476    0.5317
    1e+004        10    0.4575    0.5317
    1e+004       100    0.3955    0.5317
    1e+004      1000    0.3313    0.5317
    1e+004    1e+004    0.3205    0.5317
    1e+004    1e+005    0.3247    0.5317
    1e+005    1e-005    0.4165    0.5317
    1e+005    0.0001    0.4373    0.5317
    1e+005     0.001    0.4327    0.5317
    1e+005      0.01    0.4615    0.5317
    1e+005       0.1    0.4917    0.5317
    1e+005         1     0.476    0.5317
    1e+005        10    0.4575    0.5317
    1e+005       100    0.3955    0.5317
    1e+005      1000    0.3313    0.5317
    1e+005    1e+004    0.3205    0.5317
    1e+005    1e+005    0.3247    0.5317
******************************************
Best AROW_eta=100	 AROW_r=0.1	 AP_test=0.5317
******************************************
  AROWC_r   AP_test best_AP_test 
    1e-005    0.5045    0.5045
    0.0001    0.5195    0.5195
     0.001     0.523     0.523
      0.01    0.5495    0.5495
       0.1    0.5817    0.5817
         1    0.5695    0.5817
        10    0.5005    0.5817
       100    0.4008    0.5817
      1000     0.341    0.5817
    1e+004    0.3132    0.5817
    1e+005    0.3002    0.5817
******************************************
Best AROWC_r=0.1	 AP_test=0.5817
******************************************
