   OASIS_C  AP_test best_AP_test
    1e-005    0.1765    0.1765
    0.0001    0.1765    0.1765
     0.001    0.1765    0.1765
      0.01    0.1782    0.1782
       0.1    0.2195    0.2195
         1    0.2543    0.2543
        10    0.2194    0.2543
       100      0.22    0.2543
      1000    0.2199    0.2543
    1e+004    0.2199    0.2543
    1e+005    0.2199    0.2543
******************************************
Best OASIS_C: 	1	 AP_test=0.2543
******************************************
 AROW_eta    AROW_r   AP_test best_AP_test
    1e-005    1e-005    0.1896    0.1896
    1e-005    0.0001    0.1896    0.1896
    1e-005     0.001    0.1964    0.1964
    1e-005      0.01    0.2217    0.2217
    1e-005       0.1    0.2232    0.2232
    1e-005         1    0.2285    0.2285
    1e-005        10    0.2033    0.2285
    1e-005       100    0.1857    0.2285
    1e-005      1000      0.18    0.2285
    1e-005    1e+004    0.1766    0.2285
    1e-005    1e+005    0.1766    0.2285
    0.0001    1e-005    0.1896    0.2285
    0.0001    0.0001    0.1896    0.2285
    0.0001     0.001    0.1964    0.2285
    0.0001      0.01    0.2217    0.2285
    0.0001       0.1    0.2232    0.2285
    0.0001         1    0.2285    0.2285
    0.0001        10    0.2033    0.2285
    0.0001       100    0.1857    0.2285
    0.0001      1000      0.18    0.2285
    0.0001    1e+004    0.1766    0.2285
    0.0001    1e+005    0.1766    0.2285
     0.001    1e-005    0.1896    0.2285
     0.001    0.0001    0.1896    0.2285
     0.001     0.001    0.1964    0.2285
     0.001      0.01    0.2217    0.2285
     0.001       0.1    0.2232    0.2285
     0.001         1    0.2285    0.2285
     0.001        10    0.2033    0.2285
     0.001       100    0.1857    0.2285
     0.001      1000      0.18    0.2285
     0.001    1e+004    0.1766    0.2285
     0.001    1e+005    0.1766    0.2285
      0.01    1e-005    0.1896    0.2285
      0.01    0.0001    0.1896    0.2285
      0.01     0.001    0.1964    0.2285
      0.01      0.01    0.2217    0.2285
      0.01       0.1    0.2232    0.2285
      0.01         1    0.2285    0.2285
      0.01        10    0.2033    0.2285
      0.01       100    0.1859    0.2285
      0.01      1000    0.1812    0.2285
      0.01    1e+004    0.1784    0.2285
      0.01    1e+005    0.1784    0.2285
       0.1    1e-005    0.1896    0.2285
       0.1    0.0001    0.1896    0.2285
       0.1     0.001    0.1964    0.2285
       0.1      0.01    0.2217    0.2285
       0.1       0.1    0.2232    0.2285
       0.1         1    0.2286    0.2286
       0.1        10    0.2077    0.2286
       0.1       100     0.214    0.2286
       0.1      1000    0.2154    0.2286
       0.1    1e+004    0.2149    0.2286
       0.1    1e+005    0.2156    0.2286
         1    1e-005    0.1896    0.2286
         1    0.0001    0.1896    0.2286
         1     0.001    0.1964    0.2286
         1      0.01    0.2217    0.2286
         1       0.1    0.2238    0.2286
         1         1    0.2559    0.2559
         1        10    0.2725    0.2725
         1       100    0.2731    0.2731
         1      1000    0.2697    0.2731
         1    1e+004    0.2598    0.2731
         1    1e+005    0.2568    0.2731
        10    1e-005    0.1896    0.2731
        10    0.0001    0.1896    0.2731
        10     0.001    0.1964    0.2731
        10      0.01    0.2216    0.2731
        10       0.1    0.2826    0.2826
        10         1    0.2922    0.2922
        10        10    0.2534    0.2922
        10       100    0.2335    0.2922
        10      1000    0.2384    0.2922
        10    1e+004    0.2445    0.2922
        10    1e+005    0.2376    0.2922
       100    1e-005    0.1896    0.2922
       100    0.0001    0.1896    0.2922
       100     0.001    0.1951    0.2922
       100      0.01    0.2872    0.2922
       100       0.1    0.3089    0.3089
       100         1    0.2464    0.3089
       100        10    0.2354    0.3089
       100       100    0.2287    0.3089
       100      1000    0.2141    0.3089
       100    1e+004    0.2087    0.3089
       100    1e+005    0.2403    0.3089
      1000    1e-005    0.1896    0.3089
      1000    0.0001    0.1909    0.3089
      1000     0.001    0.2724    0.3089
      1000      0.01    0.2974    0.3089
      1000       0.1    0.2516    0.3089
      1000         1    0.2451    0.3089
      1000        10    0.2174    0.3089
      1000       100    0.2144    0.3089
      1000      1000    0.2225    0.3089
      1000    1e+004    0.2156    0.3089
      1000    1e+005    0.2269    0.3089
    1e+004    1e-005    0.1849    0.3089
    1e+004    0.0001    0.2405    0.3089
    1e+004     0.001    0.3012    0.3089
    1e+004      0.01    0.2543    0.3089
    1e+004       0.1    0.2647    0.3089
    1e+004         1    0.2444    0.3089
    1e+004        10    0.2088    0.3089
    1e+004       100    0.2262    0.3089
    1e+004      1000    0.2199    0.3089
    1e+004    1e+004    0.2186    0.3089
    1e+004    1e+005    0.2162    0.3089
    1e+005    1e-005    0.2136    0.3089
    1e+005    0.0001     0.269    0.3089
    1e+005     0.001    0.2688    0.3089
    1e+005      0.01    0.2634    0.3089
    1e+005       0.1    0.2633    0.3089
    1e+005         1    0.2301    0.3089
    1e+005        10    0.1933    0.3089
    1e+005       100    0.1979    0.3089
    1e+005      1000    0.2131    0.3089
    1e+005    1e+004    0.2275    0.3089
    1e+005    1e+005    0.2297    0.3089
******************************************
Best AROW_eta=100	 AROW_r=0.1	 AP_test=0.3089
******************************************
  AROWC_r   AP_test best_AP_test 
    1e-005    0.3064    0.3064
    0.0001    0.3034    0.3064
     0.001    0.3047    0.3064
      0.01    0.3029    0.3064
       0.1    0.2899    0.3064
         1    0.2749    0.3064
        10    0.2364    0.3064
       100    0.1906    0.3064
      1000     0.184    0.3064
    1e+004     0.177    0.3064
    1e+005    0.1765    0.3064
******************************************
Best AROWC_r=1e-005	 AP_test=0.3064
******************************************
