   OASIS_C  AP_test best_AP_test
     1e-05    0.3315    0.3315
    0.0001    0.3315    0.3315
     0.001    0.3321    0.3321
      0.01    0.4538    0.4538
       0.1    0.4986    0.4986
         1    0.4105    0.4986
        10    0.3443    0.4986
       100    0.3444    0.4986
      1000    0.3444    0.4986
     1e+04    0.3444    0.4986
     1e+05    0.3444    0.4986
******************************************
Best OASIS_C: 	0.1	 AP_test=0.4986
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.2002    0.2002
     1e-05    0.0001    0.2247    0.2247
     1e-05     0.001    0.2694    0.2694
     1e-05      0.01    0.3445    0.3445
     1e-05       0.1    0.4432    0.4432
     1e-05         1    0.5145    0.5145
     1e-05        10    0.5151    0.5151
     1e-05       100    0.4362    0.5151
     1e-05      1000    0.3551    0.5151
     1e-05     1e+04    0.3344    0.5151
     1e-05     1e+05    0.3318    0.5151
    0.0001     1e-05    0.2002    0.5151
    0.0001    0.0001    0.2247    0.5151
    0.0001     0.001    0.2694    0.5151
    0.0001      0.01    0.3445    0.5151
    0.0001       0.1    0.4432    0.5151
    0.0001         1    0.5145    0.5151
    0.0001        10    0.5151    0.5151
    0.0001       100    0.4362    0.5151
    0.0001      1000    0.3551    0.5151
    0.0001     1e+04    0.3344    0.5151
    0.0001     1e+05    0.3318    0.5151
     0.001     1e-05    0.2002    0.5151
     0.001    0.0001    0.2247    0.5151
     0.001     0.001    0.2694    0.5151
     0.001      0.01    0.3445    0.5151
     0.001       0.1    0.4432    0.5151
     0.001         1    0.5145    0.5151
     0.001        10    0.5151    0.5151
     0.001       100    0.4362    0.5151
     0.001      1000    0.3551    0.5151
     0.001     1e+04    0.3346    0.5151
     0.001     1e+05    0.3323    0.5151
      0.01     1e-05    0.2002    0.5151
      0.01    0.0001    0.2247    0.5151
      0.01     0.001    0.2694    0.5151
      0.01      0.01    0.3445    0.5151
      0.01       0.1    0.4432    0.5151
      0.01         1    0.5145    0.5151
      0.01        10    0.5151    0.5151
      0.01       100    0.4757    0.5151
      0.01      1000    0.4573    0.5151
      0.01     1e+04    0.4537    0.5151
      0.01     1e+05    0.4533    0.5151
       0.1     1e-05    0.2002    0.5151
       0.1    0.0001    0.2247    0.5151
       0.1     0.001    0.2694    0.5151
       0.1      0.01    0.3445    0.5151
       0.1       0.1    0.4432    0.5151
       0.1         1    0.5147    0.5151
       0.1        10    0.5321    0.5321
       0.1       100    0.5097    0.5321
       0.1      1000    0.5029    0.5321
       0.1     1e+04    0.4978    0.5321
       0.1     1e+05    0.4978    0.5321
         1     1e-05    0.2002    0.5321
         1    0.0001    0.2247    0.5321
         1     0.001    0.2694    0.5321
         1      0.01    0.3445    0.5321
         1       0.1    0.4438    0.5321
         1         1    0.5382    0.5382
         1        10    0.5031    0.5382
         1       100    0.4601    0.5382
         1      1000    0.4329    0.5382
         1     1e+04    0.4331    0.5382
         1     1e+05    0.4445    0.5382
        10     1e-05    0.2002    0.5382
        10    0.0001    0.2247    0.5382
        10     0.001    0.2694    0.5382
        10      0.01    0.3462    0.5382
        10       0.1    0.5282    0.5382
        10         1    0.4813    0.5382
        10        10    0.3942    0.5382
        10       100    0.3754    0.5382
        10      1000    0.3728    0.5382
        10     1e+04    0.3807    0.5382
        10     1e+05    0.3892    0.5382
       100     1e-05    0.2002    0.5382
       100    0.0001    0.2247    0.5382
       100     0.001    0.2714    0.5382
       100      0.01    0.5106    0.5382
       100       0.1    0.4671    0.5382
       100         1    0.3959    0.5382
       100        10    0.3797    0.5382
       100       100    0.3743    0.5382
       100      1000    0.3625    0.5382
       100     1e+04    0.3768    0.5382
       100     1e+05     0.375    0.5382
      1000     1e-05    0.2002    0.5382
      1000    0.0001    0.2264    0.5382
      1000     0.001    0.4879    0.5382
      1000      0.01    0.4695    0.5382
      1000       0.1    0.3909    0.5382
      1000         1    0.3801    0.5382
      1000        10    0.3693    0.5382
      1000       100     0.374    0.5382
      1000      1000    0.3522    0.5382
      1000     1e+04    0.3641    0.5382
      1000     1e+05    0.3588    0.5382
     1e+04     1e-05    0.2037    0.5382
     1e+04    0.0001    0.4553    0.5382
     1e+04     0.001    0.4593    0.5382
     1e+04      0.01    0.3876    0.5382
     1e+04       0.1    0.3951    0.5382
     1e+04         1    0.3626    0.5382
     1e+04        10    0.3679    0.5382
     1e+04       100    0.3787    0.5382
     1e+04      1000    0.3793    0.5382
     1e+04     1e+04    0.3798    0.5382
     1e+04     1e+05    0.3618    0.5382
     1e+05     1e-05    0.4184    0.5382
     1e+05    0.0001    0.4696    0.5382
     1e+05     0.001    0.3912    0.5382
     1e+05      0.01    0.3876    0.5382
     1e+05       0.1    0.3783    0.5382
     1e+05         1     0.376    0.5382
     1e+05        10    0.3638    0.5382
     1e+05       100    0.3815    0.5382
     1e+05      1000    0.3751    0.5382
     1e+05     1e+04    0.3763    0.5382
     1e+05     1e+05    0.3633    0.5382
******************************************
Best CWS_eta=1	 CWS_r=1	 AP_test=0.5382
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05     0.538     0.538
    0.0001    0.5374     0.538
     0.001    0.5379     0.538
      0.01    0.5376     0.538
       0.1     0.538     0.538
         1     0.541     0.541
        10    0.5406     0.541
       100    0.4995     0.541
      1000    0.3787     0.541
     1e+04    0.3373     0.541
     1e+05    0.3322     0.541
******************************************
Best AROMA_r=1	 AP_test=0.541
******************************************
