   OASIS_C  AP_test best_AP_test
     1e-05    0.5732    0.5732
    0.0001    0.5732    0.5732
     0.001    0.5732    0.5732
      0.01    0.5657    0.5732
       0.1    0.5996    0.5996
         1    0.6495    0.6495
        10    0.5897    0.6495
       100    0.4883    0.6495
      1000    0.4823    0.6495
     1e+04    0.4888    0.6495
     1e+05    0.4893    0.6495
******************************************
Best OASIS_C: 	1	 AP_test=0.6495
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.6534    0.6534
     1e-05    0.0001    0.6913    0.6913
     1e-05     0.001    0.6837    0.6913
     1e-05      0.01    0.6789    0.6913
     1e-05       0.1    0.6452    0.6913
     1e-05         1    0.6156    0.6913
     1e-05        10    0.5738    0.6913
     1e-05       100    0.5574    0.6913
     1e-05      1000    0.5798    0.6913
     1e-05     1e+04     0.576    0.6913
     1e-05     1e+05    0.5738    0.6913
    0.0001     1e-05    0.6534    0.6913
    0.0001    0.0001    0.6913    0.6913
    0.0001     0.001    0.6837    0.6913
    0.0001      0.01    0.6789    0.6913
    0.0001       0.1    0.6452    0.6913
    0.0001         1    0.6156    0.6913
    0.0001        10    0.5738    0.6913
    0.0001       100    0.5574    0.6913
    0.0001      1000    0.5798    0.6913
    0.0001     1e+04     0.576    0.6913
    0.0001     1e+05    0.5738    0.6913
     0.001     1e-05    0.6534    0.6913
     0.001    0.0001    0.6913    0.6913
     0.001     0.001    0.6837    0.6913
     0.001      0.01    0.6789    0.6913
     0.001       0.1    0.6452    0.6913
     0.001         1    0.6156    0.6913
     0.001        10    0.5738    0.6913
     0.001       100    0.5574    0.6913
     0.001      1000    0.5798    0.6913
     0.001     1e+04     0.576    0.6913
     0.001     1e+05    0.5738    0.6913
      0.01     1e-05    0.6534    0.6913
      0.01    0.0001    0.6913    0.6913
      0.01     0.001    0.6837    0.6913
      0.01      0.01    0.6789    0.6913
      0.01       0.1    0.6452    0.6913
      0.01         1    0.6156    0.6913
      0.01        10    0.5738    0.6913
      0.01       100    0.5543    0.6913
      0.01      1000    0.5665    0.6913
      0.01     1e+04    0.5655    0.6913
      0.01     1e+05     0.566    0.6913
       0.1     1e-05    0.6534    0.6913
       0.1    0.0001    0.6913    0.6913
       0.1     0.001    0.6837    0.6913
       0.1      0.01    0.6789    0.6913
       0.1       0.1    0.6452    0.6913
       0.1         1    0.6156    0.6913
       0.1        10    0.6061    0.6913
       0.1       100    0.5953    0.6913
       0.1      1000    0.5968    0.6913
       0.1     1e+04    0.6007    0.6913
       0.1     1e+05    0.5997    0.6913
         1     1e-05    0.6534    0.6913
         1    0.0001    0.6913    0.6913
         1     0.001    0.6837    0.6913
         1      0.01    0.6789    0.6913
         1       0.1    0.6457    0.6913
         1         1    0.6581    0.6913
         1        10      0.65    0.6913
         1       100    0.6637    0.6913
         1      1000    0.6565    0.6913
         1     1e+04    0.6516    0.6913
         1     1e+05    0.6498    0.6913
        10     1e-05    0.6534    0.6913
        10    0.0001    0.6913    0.6913
        10     0.001    0.6837    0.6913
        10      0.01    0.6788    0.6913
        10       0.1    0.6959    0.6959
        10         1    0.6783    0.6959
        10        10    0.6665    0.6959
        10       100    0.6758    0.6959
        10      1000    0.6599    0.6959
        10     1e+04     0.668    0.6959
        10     1e+05    0.6337    0.6959
       100     1e-05    0.6534    0.6959
       100    0.0001    0.6913    0.6959
       100     0.001    0.6854    0.6959
       100      0.01    0.7337    0.7337
       100       0.1    0.7157    0.7337
       100         1     0.687    0.7337
       100        10    0.6308    0.7337
       100       100    0.6472    0.7337
       100      1000    0.6174    0.7337
       100     1e+04     0.653    0.7337
       100     1e+05    0.6153    0.7337
      1000     1e-05    0.6534    0.7337
      1000    0.0001     0.695    0.7337
      1000     0.001    0.7709    0.7709
      1000      0.01    0.7571    0.7709
      1000       0.1    0.7301    0.7709
      1000         1    0.6439    0.7709
      1000        10     0.635    0.7709
      1000       100    0.6134    0.7709
      1000      1000    0.5841    0.7709
      1000     1e+04    0.6485    0.7709
      1000     1e+05    0.6099    0.7709
     1e+04     1e-05    0.6514    0.7709
     1e+04    0.0001    0.7849    0.7849
     1e+04     0.001    0.7797    0.7849
     1e+04      0.01    0.7322    0.7849
     1e+04       0.1    0.7028    0.7849
     1e+04         1     0.657    0.7849
     1e+04        10    0.6436    0.7849
     1e+04       100    0.5865    0.7849
     1e+04      1000     0.622    0.7849
     1e+04     1e+04     0.631    0.7849
     1e+04     1e+05    0.6373    0.7849
     1e+05     1e-05    0.7665    0.7849
     1e+05    0.0001     0.807     0.807
     1e+05     0.001    0.7498     0.807
     1e+05      0.01    0.7363     0.807
     1e+05       0.1    0.7038     0.807
     1e+05         1    0.6726     0.807
     1e+05        10    0.5803     0.807
     1e+05       100    0.5895     0.807
     1e+05      1000     0.624     0.807
     1e+05     1e+04    0.6374     0.807
     1e+05     1e+05    0.5724     0.807
******************************************
Best CWS_eta=1e+05	 CWS_r=0.0001	 AP_test=0.807
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.8248    0.8248
    0.0001     0.804    0.8248
     0.001    0.7726    0.8248
      0.01    0.7399    0.8248
       0.1    0.7054    0.8248
         1    0.6822    0.8248
        10    0.6257    0.8248
       100    0.5527    0.8248
      1000    0.5742    0.8248
     1e+04    0.5784    0.8248
     1e+05    0.5739    0.8248
******************************************
Best AROMA_r=1e-05	 AP_test=0.8248
******************************************
