   OASIS_C  AP_test best_AP_test
     1e-05    0.3307    0.3307
    0.0001    0.3307    0.3307
     0.001    0.3307    0.3307
      0.01    0.3367    0.3367
       0.1    0.4013    0.4013
         1    0.3931    0.4013
        10    0.3558    0.4013
       100    0.3531    0.4013
      1000    0.3531    0.4013
     1e+04    0.3531    0.4013
     1e+05    0.3531    0.4013
******************************************
Best OASIS_C: 	0.1	 AP_test=0.4013
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.2171    0.2171
     1e-05    0.0001    0.2473    0.2473
     1e-05     0.001    0.2836    0.2836
     1e-05      0.01     0.339     0.339
     1e-05       0.1    0.4008    0.4008
     1e-05         1    0.4213    0.4213
     1e-05        10    0.3959    0.4213
     1e-05       100     0.359    0.4213
     1e-05      1000    0.3365    0.4213
     1e-05     1e+04    0.3313    0.4213
     1e-05     1e+05    0.3307    0.4213
    0.0001     1e-05    0.2171    0.4213
    0.0001    0.0001    0.2473    0.4213
    0.0001     0.001    0.2836    0.4213
    0.0001      0.01     0.339    0.4213
    0.0001       0.1    0.4008    0.4213
    0.0001         1    0.4213    0.4213
    0.0001        10    0.3959    0.4213
    0.0001       100     0.359    0.4213
    0.0001      1000    0.3365    0.4213
    0.0001     1e+04    0.3313    0.4213
    0.0001     1e+05    0.3307    0.4213
     0.001     1e-05    0.2171    0.4213
     0.001    0.0001    0.2473    0.4213
     0.001     0.001    0.2836    0.4213
     0.001      0.01     0.339    0.4213
     0.001       0.1    0.4008    0.4213
     0.001         1    0.4213    0.4213
     0.001        10    0.3959    0.4213
     0.001       100     0.359    0.4213
     0.001      1000    0.3365    0.4213
     0.001     1e+04    0.3313    0.4213
     0.001     1e+05    0.3307    0.4213
      0.01     1e-05    0.2171    0.4213
      0.01    0.0001    0.2473    0.4213
      0.01     0.001    0.2836    0.4213
      0.01      0.01     0.339    0.4213
      0.01       0.1    0.4008    0.4213
      0.01         1    0.4213    0.4213
      0.01        10    0.3959    0.4213
      0.01       100    0.3594    0.4213
      0.01      1000    0.3401    0.4213
      0.01     1e+04    0.3366    0.4213
      0.01     1e+05    0.3364    0.4213
       0.1     1e-05    0.2171    0.4213
       0.1    0.0001    0.2473    0.4213
       0.1     0.001    0.2836    0.4213
       0.1      0.01     0.339    0.4213
       0.1       0.1    0.4008    0.4213
       0.1         1    0.4214    0.4214
       0.1        10    0.4114    0.4214
       0.1       100    0.4046    0.4214
       0.1      1000    0.3992    0.4214
       0.1     1e+04    0.4015    0.4214
       0.1     1e+05    0.4001    0.4214
         1     1e-05    0.2171    0.4214
         1    0.0001    0.2473    0.4214
         1     0.001    0.2836    0.4214
         1      0.01     0.339    0.4214
         1       0.1    0.4007    0.4214
         1         1     0.451     0.451
         1        10    0.4273     0.451
         1       100    0.4066     0.451
         1      1000       0.4     0.451
         1     1e+04    0.3854     0.451
         1     1e+05    0.3923     0.451
        10     1e-05    0.2171     0.451
        10    0.0001    0.2473     0.451
        10     0.001    0.2836     0.451
        10      0.01    0.3388     0.451
        10       0.1     0.453     0.453
        10         1    0.4311     0.453
        10        10    0.3783     0.453
        10       100    0.3529     0.453
        10      1000    0.3684     0.453
        10     1e+04    0.3422     0.453
        10     1e+05    0.3552     0.453
       100     1e-05    0.2171     0.453
       100    0.0001    0.2473     0.453
       100     0.001    0.2865     0.453
       100      0.01    0.4127     0.453
       100       0.1    0.4108     0.453
       100         1    0.3686     0.453
       100        10    0.3507     0.453
       100       100    0.3368     0.453
       100      1000    0.3176     0.453
       100     1e+04    0.3345     0.453
       100     1e+05    0.3295     0.453
      1000     1e-05    0.2171     0.453
      1000    0.0001    0.2491     0.453
      1000     0.001    0.3769     0.453
      1000      0.01    0.4113     0.453
      1000       0.1     0.364     0.453
      1000         1    0.3622     0.453
      1000        10    0.3438     0.453
      1000       100    0.3462     0.453
      1000      1000    0.3218     0.453
      1000     1e+04    0.3439     0.453
      1000     1e+05    0.3416     0.453
     1e+04     1e-05    0.2207     0.453
     1e+04    0.0001    0.3424     0.453
     1e+04     0.001    0.3829     0.453
     1e+04      0.01    0.3811     0.453
     1e+04       0.1    0.3668     0.453
     1e+04         1    0.3691     0.453
     1e+04        10    0.3396     0.453
     1e+04       100    0.3436     0.453
     1e+04      1000    0.3255     0.453
     1e+04     1e+04    0.3338     0.453
     1e+04     1e+05    0.3392     0.453
     1e+05     1e-05    0.3123     0.453
     1e+05    0.0001     0.351     0.453
     1e+05     0.001    0.3754     0.453
     1e+05      0.01    0.3777     0.453
     1e+05       0.1     0.368     0.453
     1e+05         1    0.3564     0.453
     1e+05        10    0.3527     0.453
     1e+05       100    0.3543     0.453
     1e+05      1000    0.3316     0.453
     1e+05     1e+04    0.3361     0.453
     1e+05     1e+05    0.3401     0.453
******************************************
Best CWS_eta=10	 CWS_r=0.1	 AP_test=0.453
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05     0.448     0.448
    0.0001     0.448     0.448
     0.001    0.4487    0.4487
      0.01    0.4481    0.4487
       0.1    0.4529    0.4529
         1    0.4547    0.4547
        10    0.4316    0.4547
       100    0.3741    0.4547
      1000    0.3403    0.4547
     1e+04    0.3317    0.4547
     1e+05    0.3308    0.4547
******************************************
Best AROMA_r=1	 AP_test=0.4547
******************************************
