   OASIS_C  AP_test best_AP_test
     1e-05     0.698     0.698
    0.0001     0.698     0.698
     0.001     0.698     0.698
      0.01    0.7616    0.7616
       0.1    0.7929    0.7929
         1    0.7727    0.7929
        10    0.7114    0.7929
       100    0.7011    0.7929
      1000    0.7013    0.7929
     1e+04    0.7013    0.7929
     1e+05    0.7013    0.7929
******************************************
Best OASIS_C: 	0.1	 AP_test=0.7929
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.6273    0.6273
     1e-05    0.0001    0.6673    0.6673
     1e-05     0.001    0.7209    0.7209
     1e-05      0.01     0.777     0.777
     1e-05       0.1    0.8087    0.8087
     1e-05         1    0.8231    0.8231
     1e-05        10    0.7971    0.8231
     1e-05       100    0.7525    0.8231
     1e-05      1000     0.719    0.8231
     1e-05     1e+04    0.7008    0.8231
     1e-05     1e+05    0.6982    0.8231
    0.0001     1e-05    0.6273    0.8231
    0.0001    0.0001    0.6673    0.8231
    0.0001     0.001    0.7209    0.8231
    0.0001      0.01     0.777    0.8231
    0.0001       0.1    0.8087    0.8231
    0.0001         1    0.8231    0.8231
    0.0001        10    0.7971    0.8231
    0.0001       100    0.7525    0.8231
    0.0001      1000     0.719    0.8231
    0.0001     1e+04    0.7008    0.8231
    0.0001     1e+05    0.6982    0.8231
     0.001     1e-05    0.6273    0.8231
     0.001    0.0001    0.6673    0.8231
     0.001     0.001    0.7209    0.8231
     0.001      0.01     0.777    0.8231
     0.001       0.1    0.8087    0.8231
     0.001         1    0.8231    0.8231
     0.001        10    0.7971    0.8231
     0.001       100    0.7525    0.8231
     0.001      1000     0.719    0.8231
     0.001     1e+04    0.7008    0.8231
     0.001     1e+05    0.6982    0.8231
      0.01     1e-05    0.6273    0.8231
      0.01    0.0001    0.6673    0.8231
      0.01     0.001    0.7209    0.8231
      0.01      0.01     0.777    0.8231
      0.01       0.1    0.8087    0.8231
      0.01         1    0.8231    0.8231
      0.01        10    0.7971    0.8231
      0.01       100    0.7555    0.8231
      0.01      1000    0.7575    0.8231
      0.01     1e+04    0.7607    0.8231
      0.01     1e+05    0.7609    0.8231
       0.1     1e-05    0.6273    0.8231
       0.1    0.0001    0.6673    0.8231
       0.1     0.001    0.7209    0.8231
       0.1      0.01     0.777    0.8231
       0.1       0.1    0.8087    0.8231
       0.1         1    0.8231    0.8231
       0.1        10    0.8131    0.8231
       0.1       100    0.7947    0.8231
       0.1      1000    0.7947    0.8231
       0.1     1e+04    0.7944    0.8231
       0.1     1e+05    0.7954    0.8231
         1     1e-05    0.6273    0.8231
         1    0.0001    0.6673    0.8231
         1     0.001    0.7209    0.8231
         1      0.01     0.777    0.8231
         1       0.1    0.8087    0.8231
         1         1     0.827     0.827
         1        10    0.8029     0.827
         1       100    0.7897     0.827
         1      1000     0.784     0.827
         1     1e+04    0.7742     0.827
         1     1e+05    0.7795     0.827
        10     1e-05    0.6273     0.827
        10    0.0001    0.6673     0.827
        10     0.001    0.7209     0.827
        10      0.01    0.7779     0.827
        10       0.1    0.8275    0.8275
        10         1    0.8085    0.8275
        10        10    0.7851    0.8275
        10       100    0.7417    0.8275
        10      1000    0.7261    0.8275
        10     1e+04    0.7287    0.8275
        10     1e+05    0.7241    0.8275
       100     1e-05    0.6273    0.8275
       100    0.0001    0.6673    0.8275
       100     0.001    0.7227    0.8275
       100      0.01     0.827    0.8275
       100       0.1    0.8124    0.8275
       100         1    0.7778    0.8275
       100        10     0.739    0.8275
       100       100    0.7062    0.8275
       100      1000    0.6987    0.8275
       100     1e+04    0.6911    0.8275
       100     1e+05    0.6999    0.8275
      1000     1e-05    0.6273    0.8275
      1000    0.0001    0.6723    0.8275
      1000     0.001    0.8226    0.8275
      1000      0.01    0.8087    0.8275
      1000       0.1    0.7826    0.8275
      1000         1    0.7515    0.8275
      1000        10    0.7415    0.8275
      1000       100    0.6823    0.8275
      1000      1000    0.6983    0.8275
      1000     1e+04    0.6901    0.8275
      1000     1e+05    0.6723    0.8275
     1e+04     1e-05    0.6357    0.8275
     1e+04    0.0001     0.806    0.8275
     1e+04     0.001    0.8052    0.8275
     1e+04      0.01    0.7924    0.8275
     1e+04       0.1     0.792    0.8275
     1e+04         1    0.7474    0.8275
     1e+04        10    0.7291    0.8275
     1e+04       100    0.6919    0.8275
     1e+04      1000    0.6875    0.8275
     1e+04     1e+04    0.7222    0.8275
     1e+04     1e+05    0.7172    0.8275
     1e+05     1e-05    0.7605    0.8275
     1e+05    0.0001    0.8091    0.8275
     1e+05     0.001     0.798    0.8275
     1e+05      0.01    0.7832    0.8275
     1e+05       0.1    0.7791    0.8275
     1e+05         1    0.7543    0.8275
     1e+05        10    0.7323    0.8275
     1e+05       100    0.6789    0.8275
     1e+05      1000    0.6981    0.8275
     1e+05     1e+04    0.7099    0.8275
     1e+05     1e+05    0.6994    0.8275
******************************************
Best CWS_eta=10	 CWS_r=0.1	 AP_test=0.8275
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.8366    0.8366
    0.0001    0.8374    0.8374
     0.001    0.8358    0.8374
      0.01    0.8314    0.8374
       0.1    0.8284    0.8374
         1    0.8145    0.8374
        10    0.8141    0.8374
       100    0.7622    0.8374
      1000    0.7335    0.8374
     1e+04     0.704    0.8374
     1e+05    0.6985    0.8374
******************************************
Best AROMA_r=0.0001	 AP_test=0.8374
******************************************
