   OASIS_C  AP_test best_AP_test
     1e-05     0.697     0.697
    0.0001     0.697     0.697
     0.001    0.7413    0.7413
      0.01    0.7687    0.7687
       0.1    0.7511    0.7687
         1    0.7401    0.7687
        10     0.735    0.7687
       100    0.7328    0.7687
      1000    0.7328    0.7687
     1e+04    0.7328    0.7687
     1e+05    0.7328    0.7687
******************************************
Best OASIS_C: 	0.01	 AP_test=0.7687
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.6008    0.6008
     1e-05    0.0001    0.6263    0.6263
     1e-05     0.001    0.6629    0.6629
     1e-05      0.01    0.6923    0.6923
     1e-05       0.1    0.7143    0.7143
     1e-05         1    0.7407    0.7407
     1e-05        10    0.7689    0.7689
     1e-05       100    0.7631    0.7689
     1e-05      1000    0.7365    0.7689
     1e-05     1e+04    0.7078    0.7689
     1e-05     1e+05    0.6982    0.7689
    0.0001     1e-05    0.6008    0.7689
    0.0001    0.0001    0.6263    0.7689
    0.0001     0.001    0.6629    0.7689
    0.0001      0.01    0.6923    0.7689
    0.0001       0.1    0.7143    0.7689
    0.0001         1    0.7407    0.7689
    0.0001        10    0.7689    0.7689
    0.0001       100    0.7631    0.7689
    0.0001      1000    0.7365    0.7689
    0.0001     1e+04    0.7078    0.7689
    0.0001     1e+05    0.6982    0.7689
     0.001     1e-05    0.6008    0.7689
     0.001    0.0001    0.6263    0.7689
     0.001     0.001    0.6629    0.7689
     0.001      0.01    0.6923    0.7689
     0.001       0.1    0.7143    0.7689
     0.001         1    0.7407    0.7689
     0.001        10    0.7689    0.7689
     0.001       100    0.7631    0.7689
     0.001      1000    0.7468    0.7689
     0.001     1e+04    0.7415    0.7689
     0.001     1e+05    0.7412    0.7689
      0.01     1e-05    0.6008    0.7689
      0.01    0.0001    0.6263    0.7689
      0.01     0.001    0.6629    0.7689
      0.01      0.01    0.6923    0.7689
      0.01       0.1    0.7143    0.7689
      0.01         1    0.7407    0.7689
      0.01        10    0.7689    0.7689
      0.01       100    0.7685    0.7689
      0.01      1000    0.7686    0.7689
      0.01     1e+04    0.7689    0.7689
      0.01     1e+05    0.7691    0.7691
       0.1     1e-05    0.6008    0.7691
       0.1    0.0001    0.6263    0.7691
       0.1     0.001    0.6629    0.7691
       0.1      0.01    0.6923    0.7691
       0.1       0.1    0.7143    0.7691
       0.1         1    0.7406    0.7691
       0.1        10    0.7638    0.7691
       0.1       100    0.7565    0.7691
       0.1      1000     0.753    0.7691
       0.1     1e+04    0.7535    0.7691
       0.1     1e+05    0.7523    0.7691
         1     1e-05    0.6008    0.7691
         1    0.0001    0.6263    0.7691
         1     0.001    0.6629    0.7691
         1      0.01    0.6923    0.7691
         1       0.1     0.714    0.7691
         1         1    0.7457    0.7691
         1        10    0.7453    0.7691
         1       100     0.745    0.7691
         1      1000    0.7432    0.7691
         1     1e+04    0.7422    0.7691
         1     1e+05    0.7424    0.7691
        10     1e-05    0.6008    0.7691
        10    0.0001    0.6263    0.7691
        10     0.001    0.6629    0.7691
        10      0.01    0.6936    0.7691
        10       0.1    0.7261    0.7691
        10         1    0.7286    0.7691
        10        10    0.7283    0.7691
        10       100    0.7267    0.7691
        10      1000    0.7345    0.7691
        10     1e+04    0.7275    0.7691
        10     1e+05      0.73    0.7691
       100     1e-05    0.6008    0.7691
       100    0.0001    0.6263    0.7691
       100     0.001    0.6631    0.7691
       100      0.01    0.7066    0.7691
       100       0.1     0.709    0.7691
       100         1    0.7165    0.7691
       100        10     0.728    0.7691
       100       100     0.722    0.7691
       100      1000    0.7286    0.7691
       100     1e+04    0.7256    0.7691
       100     1e+05    0.7348    0.7691
      1000     1e-05    0.6008    0.7691
      1000    0.0001    0.6304    0.7691
      1000     0.001    0.6791    0.7691
      1000      0.01    0.6925    0.7691
      1000       0.1    0.7046    0.7691
      1000         1    0.6995    0.7691
      1000        10    0.7083    0.7691
      1000       100    0.7194    0.7691
      1000      1000    0.7151    0.7691
      1000     1e+04    0.7343    0.7691
      1000     1e+05    0.7257    0.7691
     1e+04     1e-05    0.6022    0.7691
     1e+04    0.0001    0.6411    0.7691
     1e+04     0.001    0.6509    0.7691
     1e+04      0.01    0.6738    0.7691
     1e+04       0.1    0.6979    0.7691
     1e+04         1     0.712    0.7691
     1e+04        10    0.7162    0.7691
     1e+04       100     0.712    0.7691
     1e+04      1000    0.7191    0.7691
     1e+04     1e+04    0.7296    0.7691
     1e+04     1e+05    0.7386    0.7691
     1e+05     1e-05    0.6066    0.7691
     1e+05    0.0001     0.605    0.7691
     1e+05     0.001    0.6508    0.7691
     1e+05      0.01    0.6833    0.7691
     1e+05       0.1    0.7086    0.7691
     1e+05         1    0.7122    0.7691
     1e+05        10    0.7218    0.7691
     1e+05       100     0.717    0.7691
     1e+05      1000    0.7064    0.7691
     1e+05     1e+04    0.7296    0.7691
     1e+05     1e+05    0.7329    0.7691
******************************************
Best CWS_eta=0.01	 CWS_r=1e+05	 AP_test=0.7691
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.6237    0.6237
    0.0001    0.6291    0.6291
     0.001     0.657     0.657
      0.01    0.6946    0.6946
       0.1     0.717     0.717
         1    0.7291    0.7291
        10    0.7451    0.7451
       100    0.7713    0.7713
      1000    0.7633    0.7713
     1e+04    0.7178    0.7713
     1e+05     0.699    0.7713
******************************************
Best AROMA_r=100	 AP_test=0.7713
******************************************
