   OASIS_C  AP_test best_AP_test
     1e-05    0.5973    0.5973
    0.0001    0.5973    0.5973
     0.001    0.6072    0.6072
      0.01    0.7671    0.7671
       0.1    0.8499    0.8499
         1    0.8773    0.8773
        10    0.8299    0.8773
       100    0.7966    0.8773
      1000    0.7935    0.8773
     1e+04    0.7935    0.8773
     1e+05    0.7935    0.8773
******************************************
Best OASIS_C: 	1	 AP_test=0.8773
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.6098    0.6098
     1e-05    0.0001    0.7289    0.7289
     1e-05     0.001     0.815     0.815
     1e-05      0.01    0.8588    0.8588
     1e-05       0.1    0.8821    0.8821
     1e-05         1    0.8771    0.8821
     1e-05        10    0.8357    0.8821
     1e-05       100    0.7697    0.8821
     1e-05      1000    0.6828    0.8821
     1e-05     1e+04    0.6124    0.8821
     1e-05     1e+05    0.5986    0.8821
    0.0001     1e-05    0.6098    0.8821
    0.0001    0.0001    0.7289    0.8821
    0.0001     0.001     0.815    0.8821
    0.0001      0.01    0.8588    0.8821
    0.0001       0.1    0.8821    0.8821
    0.0001         1    0.8771    0.8821
    0.0001        10    0.8357    0.8821
    0.0001       100    0.7697    0.8821
    0.0001      1000    0.6828    0.8821
    0.0001     1e+04    0.6124    0.8821
    0.0001     1e+05    0.5986    0.8821
     0.001     1e-05    0.6098    0.8821
     0.001    0.0001    0.7289    0.8821
     0.001     0.001     0.815    0.8821
     0.001      0.01    0.8588    0.8821
     0.001       0.1    0.8821    0.8821
     0.001         1    0.8771    0.8821
     0.001        10    0.8357    0.8821
     0.001       100    0.7697    0.8821
     0.001      1000     0.682    0.8821
     0.001     1e+04    0.6187    0.8821
     0.001     1e+05    0.6088    0.8821
      0.01     1e-05    0.6098    0.8821
      0.01    0.0001    0.7289    0.8821
      0.01     0.001     0.815    0.8821
      0.01      0.01    0.8588    0.8821
      0.01       0.1    0.8821    0.8821
      0.01         1    0.8771    0.8821
      0.01        10    0.8357    0.8821
      0.01       100    0.7742    0.8821
      0.01      1000    0.7651    0.8821
      0.01     1e+04    0.7672    0.8821
      0.01     1e+05     0.767    0.8821
       0.1     1e-05    0.6098    0.8821
       0.1    0.0001    0.7289    0.8821
       0.1     0.001     0.815    0.8821
       0.1      0.01    0.8588    0.8821
       0.1       0.1    0.8821    0.8821
       0.1         1    0.8772    0.8821
       0.1        10    0.8645    0.8821
       0.1       100    0.8507    0.8821
       0.1      1000    0.8499    0.8821
       0.1     1e+04    0.8493    0.8821
       0.1     1e+05    0.8498    0.8821
         1     1e-05    0.6098    0.8821
         1    0.0001    0.7289    0.8821
         1     0.001     0.815    0.8821
         1      0.01    0.8588    0.8821
         1       0.1    0.8814    0.8821
         1         1     0.904     0.904
         1        10    0.8935     0.904
         1       100    0.8853     0.904
         1      1000    0.8827     0.904
         1     1e+04    0.8795     0.904
         1     1e+05    0.8814     0.904
        10     1e-05    0.6098     0.904
        10    0.0001    0.7289     0.904
        10     0.001     0.815     0.904
        10      0.01    0.8589     0.904
        10       0.1    0.9066    0.9066
        10         1    0.8993    0.9066
        10        10     0.883    0.9066
        10       100     0.864    0.9066
        10      1000    0.8527    0.9066
        10     1e+04    0.8534    0.9066
        10     1e+05     0.836    0.9066
       100     1e-05    0.6098    0.9066
       100    0.0001    0.7289    0.9066
       100     0.001    0.8187    0.9066
       100      0.01    0.8991    0.9066
       100       0.1    0.8934    0.9066
       100         1    0.8881    0.9066
       100        10    0.8632    0.9066
       100       100    0.8428    0.9066
       100      1000    0.8428    0.9066
       100     1e+04     0.842    0.9066
       100     1e+05    0.8576    0.9066
      1000     1e-05    0.6098    0.9066
      1000    0.0001    0.7493    0.9066
      1000     0.001     0.866    0.9066
      1000      0.01    0.8816    0.9066
      1000       0.1    0.8637    0.9066
      1000         1    0.8674    0.9066
      1000        10     0.882    0.9066
      1000       100    0.8631    0.9066
      1000      1000    0.8414    0.9066
      1000     1e+04    0.8331    0.9066
      1000     1e+05    0.8313    0.9066
     1e+04     1e-05    0.6335    0.9066
     1e+04    0.0001    0.7945    0.9066
     1e+04     0.001    0.8743    0.9066
     1e+04      0.01    0.8658    0.9066
     1e+04       0.1    0.8674    0.9066
     1e+04         1    0.8852    0.9066
     1e+04        10    0.8706    0.9066
     1e+04       100    0.8361    0.9066
     1e+04      1000    0.8529    0.9066
     1e+04     1e+04    0.8442    0.9066
     1e+04     1e+05    0.8448    0.9066
     1e+05     1e-05    0.6462    0.9066
     1e+05    0.0001    0.7688    0.9066
     1e+05     0.001    0.8545    0.9066
     1e+05      0.01    0.8647    0.9066
     1e+05       0.1    0.8607    0.9066
     1e+05         1    0.8784    0.9066
     1e+05        10    0.8594    0.9066
     1e+05       100    0.8628    0.9066
     1e+05      1000    0.8556    0.9066
     1e+05     1e+04    0.8398    0.9066
     1e+05     1e+05    0.8478    0.9066
******************************************
Best CWS_eta=10	 CWS_r=0.1	 AP_test=0.9066
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05     0.869     0.869
    0.0001     0.874     0.874
     0.001    0.8837    0.8837
      0.01    0.8978    0.8978
       0.1    0.9062    0.9062
         1     0.904    0.9062
        10    0.8812    0.9062
       100    0.8156    0.9062
      1000    0.7288    0.9062
     1e+04    0.6304    0.9062
     1e+05    0.6009    0.9062
******************************************
Best AROMA_r=0.1	 AP_test=0.9062
******************************************
