   OASIS_C  AP_test best_AP_test
     1e-05     0.447     0.447
    0.0001     0.447     0.447
     0.001     0.447     0.447
      0.01    0.4768    0.4768
       0.1    0.5129    0.5129
         1    0.5424    0.5424
        10      0.54    0.5424
       100    0.5178    0.5424
      1000    0.5175    0.5424
     1e+04    0.5057    0.5424
     1e+05    0.4791    0.5424
******************************************
Best OASIS_C: 	1	 AP_test=0.5424
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.3511    0.3511
     1e-05    0.0001    0.3731    0.3731
     1e-05     0.001     0.401     0.401
     1e-05      0.01    0.5156    0.5156
     1e-05       0.1    0.5598    0.5598
     1e-05         1     0.538    0.5598
     1e-05        10    0.5209    0.5598
     1e-05       100    0.5116    0.5598
     1e-05      1000    0.4588    0.5598
     1e-05     1e+04     0.448    0.5598
     1e-05     1e+05    0.4473    0.5598
    0.0001     1e-05    0.3511    0.5598
    0.0001    0.0001    0.3731    0.5598
    0.0001     0.001     0.401    0.5598
    0.0001      0.01    0.5156    0.5598
    0.0001       0.1    0.5598    0.5598
    0.0001         1     0.538    0.5598
    0.0001        10    0.5209    0.5598
    0.0001       100    0.5116    0.5598
    0.0001      1000    0.4588    0.5598
    0.0001     1e+04     0.448    0.5598
    0.0001     1e+05    0.4473    0.5598
     0.001     1e-05    0.3511    0.5598
     0.001    0.0001    0.3731    0.5598
     0.001     0.001     0.401    0.5598
     0.001      0.01    0.5156    0.5598
     0.001       0.1    0.5598    0.5598
     0.001         1     0.538    0.5598
     0.001        10    0.5209    0.5598
     0.001       100    0.5116    0.5598
     0.001      1000    0.4588    0.5598
     0.001     1e+04     0.448    0.5598
     0.001     1e+05    0.4473    0.5598
      0.01     1e-05    0.3511    0.5598
      0.01    0.0001    0.3731    0.5598
      0.01     0.001     0.401    0.5598
      0.01      0.01    0.5156    0.5598
      0.01       0.1    0.5598    0.5598
      0.01         1     0.538    0.5598
      0.01        10    0.5209    0.5598
      0.01       100    0.5116    0.5598
      0.01      1000    0.4778    0.5598
      0.01     1e+04    0.4759    0.5598
      0.01     1e+05    0.4759    0.5598
       0.1     1e-05    0.3511    0.5598
       0.1    0.0001    0.3731    0.5598
       0.1     0.001     0.401    0.5598
       0.1      0.01    0.5156    0.5598
       0.1       0.1    0.5598    0.5598
       0.1         1     0.538    0.5598
       0.1        10    0.5218    0.5598
       0.1       100     0.506    0.5598
       0.1      1000    0.5172    0.5598
       0.1     1e+04    0.5139    0.5598
       0.1     1e+05    0.5109    0.5598
         1     1e-05    0.3511    0.5598
         1    0.0001    0.3731    0.5598
         1     0.001     0.401    0.5598
         1      0.01    0.5156    0.5598
         1       0.1    0.5586    0.5598
         1         1    0.5669    0.5669
         1        10    0.5513    0.5669
         1       100     0.565    0.5669
         1      1000    0.5495    0.5669
         1     1e+04    0.5683    0.5683
         1     1e+05    0.5484    0.5683
        10     1e-05    0.3511    0.5683
        10    0.0001    0.3731    0.5683
        10     0.001     0.401    0.5683
        10      0.01    0.5161    0.5683
        10       0.1    0.6411    0.6411
        10         1    0.6261    0.6411
        10        10     0.591    0.6411
        10       100    0.5486    0.6411
        10      1000    0.5544    0.6411
        10     1e+04    0.5375    0.6411
        10     1e+05     0.576    0.6411
       100     1e-05    0.3511    0.6411
       100    0.0001    0.3731    0.6411
       100     0.001    0.4142    0.6411
       100      0.01    0.6304    0.6411
       100       0.1     0.643     0.643
       100         1    0.5984     0.643
       100        10    0.5673     0.643
       100       100    0.5832     0.643
       100      1000    0.5584     0.643
       100     1e+04    0.5643     0.643
       100     1e+05    0.5373     0.643
      1000     1e-05     0.351     0.643
      1000    0.0001    0.3873     0.643
      1000     0.001    0.5295     0.643
      1000      0.01     0.602     0.643
      1000       0.1    0.5522     0.643
      1000         1    0.5048     0.643
      1000        10    0.5505     0.643
      1000       100    0.5347     0.643
      1000      1000     0.536     0.643
      1000     1e+04    0.5698     0.643
      1000     1e+05    0.5355     0.643
     1e+04     1e-05    0.3636     0.643
     1e+04    0.0001    0.4226     0.643
     1e+04     0.001    0.5504     0.643
     1e+04      0.01    0.5067     0.643
     1e+04       0.1    0.5069     0.643
     1e+04         1    0.5521     0.643
     1e+04        10    0.4644     0.643
     1e+04       100    0.5618     0.643
     1e+04      1000    0.5413     0.643
     1e+04     1e+04    0.5436     0.643
     1e+04     1e+05    0.5378     0.643
     1e+05     1e-05    0.3443     0.643
     1e+05    0.0001    0.4426     0.643
     1e+05     0.001    0.4788     0.643
     1e+05      0.01    0.4901     0.643
     1e+05       0.1     0.526     0.643
     1e+05         1    0.5281     0.643
     1e+05        10    0.5821     0.643
     1e+05       100    0.5429     0.643
     1e+05      1000    0.5264     0.643
     1e+05     1e+04    0.5595     0.643
     1e+05     1e+05    0.5109     0.643
******************************************
Best CWS_eta=100	 CWS_r=0.1	 AP_test=0.643
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.5895    0.5895
    0.0001    0.6182    0.6182
     0.001    0.6367    0.6367
      0.01    0.6536    0.6536
       0.1    0.6352    0.6536
         1    0.5831    0.6536
        10    0.5335    0.6536
       100    0.5169    0.6536
      1000    0.4695    0.6536
     1e+04    0.4502    0.6536
     1e+05    0.4471    0.6536
******************************************
Best AROMA_r=0.01	 AP_test=0.6536
******************************************
