   OASIS_C  AP_test best_AP_test
     1e-05     0.613     0.613
    0.0001    0.6131    0.6131
     0.001    0.6863    0.6863
      0.01    0.6871    0.6871
       0.1    0.6412    0.6871
         1    0.5952    0.6871
        10    0.5716    0.6871
       100     0.569    0.6871
      1000    0.5692    0.6871
     1e+04    0.5692    0.6871
     1e+05    0.5692    0.6871
******************************************
Best OASIS_C: 	0.01	 AP_test=0.6871
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.4474    0.4474
     1e-05    0.0001    0.4801    0.4801
     1e-05     0.001    0.5269    0.5269
     1e-05      0.01    0.5835    0.5835
     1e-05       0.1    0.6265    0.6265
     1e-05         1    0.6626    0.6626
     1e-05        10    0.7002    0.7002
     1e-05       100    0.7058    0.7058
     1e-05      1000    0.6754    0.7058
     1e-05     1e+04    0.6364    0.7058
     1e-05     1e+05    0.6167    0.7058
    0.0001     1e-05    0.4474    0.7058
    0.0001    0.0001    0.4801    0.7058
    0.0001     0.001    0.5269    0.7058
    0.0001      0.01    0.5835    0.7058
    0.0001       0.1    0.6265    0.7058
    0.0001         1    0.6626    0.7058
    0.0001        10    0.7002    0.7058
    0.0001       100    0.7058    0.7058
    0.0001      1000    0.6754    0.7058
    0.0001     1e+04    0.6364    0.7058
    0.0001     1e+05    0.6167    0.7058
     0.001     1e-05    0.4474    0.7058
     0.001    0.0001    0.4801    0.7058
     0.001     0.001    0.5269    0.7058
     0.001      0.01    0.5835    0.7058
     0.001       0.1    0.6265    0.7058
     0.001         1    0.6626    0.7058
     0.001        10    0.7002    0.7058
     0.001       100    0.7058    0.7058
     0.001      1000     0.686    0.7058
     0.001     1e+04    0.6856    0.7058
     0.001     1e+05    0.6862    0.7058
      0.01     1e-05    0.4474    0.7058
      0.01    0.0001    0.4801    0.7058
      0.01     0.001    0.5269    0.7058
      0.01      0.01    0.5835    0.7058
      0.01       0.1    0.6265    0.7058
      0.01         1    0.6626    0.7058
      0.01        10    0.7003    0.7058
      0.01       100    0.7015    0.7058
      0.01      1000    0.6899    0.7058
      0.01     1e+04    0.6874    0.7058
      0.01     1e+05    0.6868    0.7058
       0.1     1e-05    0.4474    0.7058
       0.1    0.0001    0.4801    0.7058
       0.1     0.001    0.5269    0.7058
       0.1      0.01    0.5835    0.7058
       0.1       0.1    0.6265    0.7058
       0.1         1    0.6628    0.7058
       0.1        10    0.6649    0.7058
