   OASIS_C  AP_test best_AP_test
     1e-05    0.4425    0.4425
    0.0001    0.4425    0.4425
     0.001    0.5074    0.5074
      0.01    0.6568    0.6568
       0.1    0.7664    0.7664
         1     0.797     0.797
        10    0.7374     0.797
       100    0.7079     0.797
      1000    0.7136     0.797
     1e+04    0.7139     0.797
     1e+05    0.7139     0.797
******************************************
Best OASIS_C: 	1	 AP_test=0.797
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.4816    0.4816
     1e-05    0.0001    0.5779    0.5779
     1e-05     0.001    0.6943    0.6943
     1e-05      0.01    0.7652    0.7652
     1e-05       0.1    0.8034    0.8034
     1e-05         1    0.7898    0.8034
     1e-05        10    0.7295    0.8034
     1e-05       100    0.6263    0.8034
     1e-05      1000    0.5499    0.8034
     1e-05     1e+04    0.4669    0.8034
     1e-05     1e+05    0.4457    0.8034
    0.0001     1e-05    0.4816    0.8034
    0.0001    0.0001    0.5779    0.8034
    0.0001     0.001    0.6943    0.8034
    0.0001      0.01    0.7652    0.8034
    0.0001       0.1    0.8034    0.8034
    0.0001         1    0.7898    0.8034
    0.0001        10    0.7295    0.8034
    0.0001       100    0.6263    0.8034
    0.0001      1000    0.5499    0.8034
    0.0001     1e+04    0.4669    0.8034
    0.0001     1e+05    0.4457    0.8034
     0.001     1e-05    0.4816    0.8034
     0.001    0.0001    0.5779    0.8034
     0.001     0.001    0.6943    0.8034
     0.001      0.01    0.7652    0.8034
     0.001       0.1    0.8034    0.8034
     0.001         1    0.7898    0.8034
     0.001        10    0.7295    0.8034
     0.001       100    0.6263    0.8034
     0.001      1000    0.5493    0.8034
     0.001     1e+04    0.5131    0.8034
     0.001     1e+05    0.5078    0.8034
      0.01     1e-05    0.4816    0.8034
      0.01    0.0001    0.5779    0.8034
      0.01     0.001    0.6943    0.8034
      0.01      0.01    0.7652    0.8034
      0.01       0.1    0.8034    0.8034
      0.01         1    0.7898    0.8034
      0.01        10    0.7295    0.8034
      0.01       100    0.6613    0.8034
      0.01      1000    0.6544    0.8034
      0.01     1e+04    0.6563    0.8034
      0.01     1e+05    0.6568    0.8034
       0.1     1e-05    0.4816    0.8034
       0.1    0.0001    0.5779    0.8034
       0.1     0.001    0.6943    0.8034
       0.1      0.01    0.7652    0.8034
       0.1       0.1    0.8034    0.8034
       0.1         1    0.7889    0.8034
       0.1        10    0.7758    0.8034
       0.1       100    0.7704    0.8034
       0.1      1000    0.7679    0.8034
       0.1     1e+04    0.7661    0.8034
       0.1     1e+05    0.7659    0.8034
         1     1e-05    0.4816    0.8034
         1    0.0001    0.5779    0.8034
         1     0.001    0.6943    0.8034
         1      0.01    0.7652    0.8034
         1       0.1    0.8015    0.8034
         1         1    0.8308    0.8308
         1        10    0.8233    0.8308
         1       100    0.8097    0.8308
         1      1000     0.799    0.8308
         1     1e+04    0.7985    0.8308
         1     1e+05    0.7959    0.8308
        10     1e-05    0.4816    0.8308
        10    0.0001    0.5779    0.8308
        10     0.001    0.6943    0.8308
        10      0.01     0.766    0.8308
        10       0.1    0.8305    0.8308
        10         1    0.8266    0.8308
        10        10    0.8073    0.8308
        10       100    0.7795    0.8308
        10      1000    0.7528    0.8308
        10     1e+04     0.755    0.8308
        10     1e+05    0.7405    0.8308
       100     1e-05    0.4816    0.8308
       100    0.0001    0.5779    0.8308
       100     0.001    0.7017    0.8308
       100      0.01     0.812    0.8308
       100       0.1    0.8136    0.8308
       100         1    0.7923    0.8308
       100        10    0.7644    0.8308
       100       100    0.7439    0.8308
       100      1000    0.7088    0.8308
       100     1e+04    0.7511    0.8308
       100     1e+05    0.7305    0.8308
      1000     1e-05    0.4816    0.8308
      1000    0.0001    0.5899    0.8308
      1000     0.001    0.7682    0.8308
      1000      0.01    0.7927    0.8308
      1000       0.1    0.7699    0.8308
      1000         1    0.7669    0.8308
      1000        10    0.7604    0.8308
      1000       100    0.7371    0.8308
      1000      1000    0.7332    0.8308
      1000     1e+04    0.7302    0.8308
      1000     1e+05    0.7309    0.8308
     1e+04     1e-05    0.4998    0.8308
     1e+04    0.0001     0.716    0.8308
     1e+04     0.001    0.7521    0.8308
     1e+04      0.01    0.7548    0.8308
     1e+04       0.1    0.7608    0.8308
     1e+04         1    0.7605    0.8308
     1e+04        10    0.7633    0.8308
     1e+04       100    0.7553    0.8308
     1e+04      1000    0.7373    0.8308
     1e+04     1e+04    0.7241    0.8308
     1e+04     1e+05    0.7475    0.8308
     1e+05     1e-05    0.5837    0.8308
     1e+05    0.0001     0.692    0.8308
     1e+05     0.001    0.7163    0.8308
     1e+05      0.01    0.7384    0.8308
     1e+05       0.1    0.7523    0.8308
     1e+05         1     0.769    0.8308
     1e+05        10    0.7514    0.8308
     1e+05       100    0.7337    0.8308
     1e+05      1000    0.7514    0.8308
     1e+05     1e+04    0.7419    0.8308
     1e+05     1e+05    0.7371    0.8308
******************************************
Best CWS_eta=1	 CWS_r=1	 AP_test=0.8308
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.7269    0.7269
    0.0001    0.7478    0.7478
     0.001    0.7677    0.7677
      0.01    0.8044    0.8044
       0.1    0.8248    0.8248
         1    0.8277    0.8277
        10    0.8037    0.8277
       100    0.7218    0.8277
      1000    0.5936    0.8277
     1e+04    0.4904    0.8277
     1e+05    0.4489    0.8277
******************************************
Best AROMA_r=1	 AP_test=0.8277
******************************************
