   OASIS_C  AP_test best_AP_test
     1e-05    0.3601    0.3601
    0.0001    0.3601    0.3601
     0.001    0.3598    0.3601
      0.01    0.3723    0.3723
       0.1    0.3361    0.3723
         1    0.4197    0.4197
        10    0.4314    0.4314
       100    0.3779    0.4314
      1000     0.361    0.4314
     1e+04    0.3676    0.4314
     1e+05    0.3585    0.4314
******************************************
Best OASIS_C: 	10	 AP_test=0.4314
******************************************
  CWS_eta     CWS_r   AP_test best_AP_test
     1e-05     1e-05    0.1072    0.1072
     1e-05    0.0001    0.1344    0.1344
     1e-05     0.001    0.2198    0.2198
     1e-05      0.01    0.2866    0.2866
     1e-05       0.1    0.4007    0.4007
     1e-05         1    0.4266    0.4266
     1e-05        10    0.3975    0.4266
     1e-05       100    0.3832    0.4266
     1e-05      1000    0.3591    0.4266
     1e-05     1e+04    0.3595    0.4266
     1e-05     1e+05    0.3598    0.4266
    0.0001     1e-05    0.1072    0.4266
    0.0001    0.0001    0.1344    0.4266
    0.0001     0.001    0.2198    0.4266
    0.0001      0.01    0.2866    0.4266
    0.0001       0.1    0.4007    0.4266
    0.0001         1    0.4266    0.4266
    0.0001        10    0.3975    0.4266
    0.0001       100    0.3832    0.4266
    0.0001      1000    0.3591    0.4266
    0.0001     1e+04    0.3595    0.4266
    0.0001     1e+05    0.3598    0.4266
     0.001     1e-05    0.1072    0.4266
     0.001    0.0001    0.1344    0.4266
     0.001     0.001    0.2198    0.4266
     0.001      0.01    0.2866    0.4266
     0.001       0.1    0.4007    0.4266
     0.001         1    0.4266    0.4266
     0.001        10    0.3975    0.4266
     0.001       100    0.3832    0.4266
     0.001      1000    0.3591    0.4266
     0.001     1e+04    0.3595    0.4266
     0.001     1e+05    0.3598    0.4266
      0.01     1e-05    0.1072    0.4266
      0.01    0.0001    0.1344    0.4266
      0.01     0.001    0.2198    0.4266
      0.01      0.01    0.2866    0.4266
      0.01       0.1    0.4007    0.4266
      0.01         1    0.4266    0.4266
      0.01        10    0.3975    0.4266
      0.01       100    0.3859    0.4266
      0.01      1000    0.3709    0.4266
      0.01     1e+04     0.372    0.4266
      0.01     1e+05    0.3724    0.4266
       0.1     1e-05    0.1072    0.4266
       0.1    0.0001    0.1344    0.4266
       0.1     0.001    0.2198    0.4266
       0.1      0.01    0.2866    0.4266
       0.1       0.1    0.4007    0.4266
       0.1         1    0.4266    0.4266
       0.1        10    0.3732    0.4266
       0.1       100    0.3373    0.4266
       0.1      1000    0.3401    0.4266
       0.1     1e+04    0.3408    0.4266
       0.1     1e+05    0.3403    0.4266
         1     1e-05    0.1072    0.4266
         1    0.0001    0.1344    0.4266
         1     0.001    0.2198    0.4266
         1      0.01    0.2866    0.4266
         1       0.1    0.4034    0.4266
         1         1    0.3852    0.4266
         1        10    0.3833    0.4266
         1       100     0.384    0.4266
         1      1000    0.3995    0.4266
         1     1e+04    0.4072    0.4266
         1     1e+05    0.4109    0.4266
        10     1e-05    0.1072    0.4266
        10    0.0001    0.1344    0.4266
        10     0.001    0.2198    0.4266
        10      0.01    0.2935    0.4266
        10       0.1    0.4317    0.4317
        10         1    0.4493    0.4493
        10        10    0.4559    0.4559
        10       100    0.4551    0.4559
        10      1000    0.4219    0.4559
        10     1e+04    0.4317    0.4559
        10     1e+05    0.4283    0.4559
       100     1e-05    0.1072    0.4559
       100    0.0001    0.1344    0.4559
       100     0.001    0.2173    0.4559
       100      0.01    0.4277    0.4559
       100       0.1    0.4528    0.4559
       100         1    0.4625    0.4625
       100        10    0.4174    0.4625
       100       100    0.3929    0.4625
       100      1000    0.4598    0.4625
       100     1e+04    0.3955    0.4625
       100     1e+05    0.4176    0.4625
      1000     1e-05    0.1072    0.4625
      1000    0.0001    0.1393    0.4625
      1000     0.001    0.2415    0.4625
      1000      0.01    0.4351    0.4625
      1000       0.1    0.3759    0.4625
      1000         1    0.3727    0.4625
      1000        10    0.3595    0.4625
      1000       100    0.4203    0.4625
      1000      1000    0.4016    0.4625
      1000     1e+04    0.4296    0.4625
      1000     1e+05    0.4667    0.4667
     1e+04     1e-05    0.1283    0.4667
     1e+04    0.0001   0.09622    0.4667
     1e+04     0.001    0.2951    0.4667
     1e+04      0.01    0.3555    0.4667
     1e+04       0.1    0.3355    0.4667
     1e+04         1    0.3296    0.4667
     1e+04        10     0.334    0.4667
     1e+04       100     0.427    0.4667
     1e+04      1000    0.4498    0.4667
     1e+04     1e+04    0.4127    0.4667
     1e+04     1e+05    0.3968    0.4667
     1e+05     1e-05   0.07236    0.4667
     1e+05    0.0001    0.1349    0.4667
     1e+05     0.001    0.3233    0.4667
     1e+05      0.01    0.2776    0.4667
     1e+05       0.1    0.3117    0.4667
     1e+05         1      0.33    0.4667
     1e+05        10    0.3742    0.4667
     1e+05       100    0.4265    0.4667
     1e+05      1000    0.4136    0.4667
     1e+05     1e+04     0.424    0.4667
     1e+05     1e+05    0.4658    0.4667
******************************************
Best CWS_eta=1000	 CWS_r=1e+05	 AP_test=0.4667
******************************************
  AROMA_r   AP_test best_AP_test 
     1e-05    0.3873    0.3873
    0.0001    0.3966    0.3966
     0.001    0.4128    0.4128
      0.01    0.4374    0.4374
       0.1    0.4289    0.4374
         1    0.4043    0.4374
        10    0.3544    0.4374
       100    0.3941    0.4374
      1000    0.3632    0.4374
     1e+04    0.3589    0.4374
     1e+05    0.3595    0.4374
******************************************
Best AROMA_r=0.01	 AP_test=0.4374
******************************************
